trial,money_left,weeks_left,money_right,weeks_right,choice,biggerchosen,pair,time,date
1,6350,9,6050,7,left,1,10,16.486,Wed May 11 14:37:27 2016
2,1450,10,1350,7,right,0,21,15.272,Wed May 11 14:37:45 2016
3,5150,1,6500,10,left,0,18,20.895,Wed May 11 14:38:08 2016
4,5300,2,5600,4,right,1,5,19.743,Wed May 11 14:38:29 2016
5,6200,8,6500,10,right,1,11,12.935,Wed May 11 14:38:44 2016
6,5150,1,5300,2,right,1,1,14.088,Wed May 11 14:39:01 2016
7,5600,4,5450,3,left,1,3,33.541,Wed May 11 14:39:36 2016
8,5600,4,5150,1,right,0,6,8.8,Wed May 11 14:39:47 2016
9,6500,10,5600,4,right,0,17,11.233,Wed May 11 14:40:00 2016
10,5450,3,5150,1,left,1,4,23.097,Wed May 11 14:40:25 2016
11,6050,7,5600,4,right,0,14,13.655,Wed May 11 14:40:39 2016
12,1450,10,1150,1,right,0,24,10.167,Wed May 11 14:40:51 2016
13,5150,1,5450,3,right,1,4,12.283,Wed May 11 14:41:05 2016
14,1450,10,1350,7,right,0,21,7.916,Wed May 11 14:41:14 2016
15,5600,4,6050,7,right,1,14,17.523,Wed May 11 14:41:32 2016
16,6050,7,6350,9,right,1,10,16.791,Wed May 11 14:41:50 2016
17,5450,3,5150,1,left,1,4,16.572,Wed May 11 14:42:09 2016
18,6350,9,6500,10,right,1,9,6.079,Wed May 11 14:42:16 2016
19,5150,1,5600,4,left,0,6,16.906,Wed May 11 14:42:34 2016
20,5600,4,6050,7,right,1,14,16.174,Wed May 11 14:42:51 2016
21,6350,9,6500,10,right,1,9,16.806,Wed May 11 14:43:10 2016
22,5300,2,6200,8,left,0,13,11.05,Wed May 11 14:43:22 2016
23,1350,7,1150,1,right,0,22,4.243,Wed May 11 14:43:27 2016
24,5600,4,5150,1,left,1,6,12.904,Wed May 11 14:43:42 2016
25,5150,1,5450,3,right,1,4,6.278,Wed May 11 14:43:49 2016
26,1250,4,1450,10,left,0,23,6.296,Wed May 11 14:43:56 2016
27,6500,10,5150,1,right,0,18,5.561,Wed May 11 14:44:03 2016
28,1250,4,1450,10,left,0,23,19.11,Wed May 11 14:44:23 2016
29,5300,2,6200,8,left,0,13,10.45,Wed May 11 14:44:35 2016
30,5450,3,5300,2,left,1,2,12.503,Wed May 11 14:44:49 2016
31,5450,3,6350,9,left,0,15,21.829,Wed May 11 14:45:12 2016
32,5150,1,5300,2,right,1,1,15.789,Wed May 11 14:45:28 2016
