trial,money_left,weeks_left,money_right,weeks_right,choice,biggerchosen,pair,time,date
1,1450,10,1250,4,right,0,23,41.762,Wed Apr 13 15:04:33 2016
2,1250,4,1450,10,left,0,23,22.046,Wed Apr 13 15:04:59 2016
3,1450,10,1350,7,right,0,21,30.636,Wed Apr 13 15:05:31 2016
4,6200,8,6500,10,right,1,11,20.527,Wed Apr 13 15:05:53 2016
5,1250,4,1350,7,left,0,20,35.376,Wed Apr 13 15:06:30 2016
6,6050,7,5600,4,left,1,14,48.341,Wed Apr 13 15:07:20 2016
7,5600,4,6050,7,right,1,14,12.918,Wed Apr 13 15:07:35 2016
8,5450,3,5600,4,right,1,3,54.229,Wed Apr 13 15:08:31 2016
9,5300,2,5600,4,left,0,5,47.655,Wed Apr 13 15:09:20 2016
10,1450,10,1250,4,right,0,23,14.904,Wed Apr 13 15:09:36 2016
11,6500,10,5600,4,right,0,17,72.513,Wed Apr 13 15:10:49 2016
12,6350,9,5450,3,left,1,15,74.55,Wed Apr 13 15:12:05 2016
13,5150,1,6050,7,left,0,16,189.187,Wed Apr 13 15:15:16 2016
14,1150,1,1250,4,left,0,19,14.803,Wed Apr 13 15:15:32 2016
15,5300,2,5600,4,right,1,5,84.609,Wed Apr 13 15:16:58 2016
16,5300,2,5600,4,right,1,5,11.217,Wed Apr 13 15:17:11 2016
17,6200,8,6500,10,right,1,11,28.05,Wed Apr 13 15:17:40 2016
18,5600,4,5300,2,left,1,5,12.302,Wed Apr 13 15:17:54 2016
19,5150,1,5600,4,left,0,6,71.696,Wed Apr 13 15:19:07 2016
20,6500,10,6200,8,left,1,11,41.5,Wed Apr 13 15:19:50 2016
21,1450,10,1350,7,right,0,21,17.822,Wed Apr 13 15:20:09 2016
22,1350,7,1250,4,right,0,20,12.068,Wed Apr 13 15:20:22 2016
23,6050,7,6200,8,right,1,7,72.964,Wed Apr 13 15:21:36 2016
24,6200,8,6050,7,left,1,7,6.995,Wed Apr 13 15:21:44 2016
25,5150,1,5600,4,right,1,6,34.524,Wed Apr 13 15:22:20 2016
26,6500,10,6350,9,left,1,9,28.451,Wed Apr 13 15:22:50 2016
27,1150,1,1350,7,left,0,22,20.191,Wed Apr 13 15:23:11 2016
28,5450,3,5150,1,left,1,4,28.301,Wed Apr 13 15:23:41 2016
29,5600,4,6050,7,right,1,14,88.764,Wed Apr 13 15:25:11 2016
30,1350,7,1450,10,left,0,21,18.708,Wed Apr 13 15:25:31 2016
31,6500,10,5600,4,left,1,17,91.066,Wed Apr 13 15:27:03 2016
32,5150,1,5300,2,right,1,1,28.836,Wed Apr 13 15:27:33 2016
33,6350,9,6500,10,right,1,9,23.395,Wed Apr 13 15:27:58 2016
34,5450,3,6350,9,right,1,15,108.101,Wed Apr 13 15:29:47 2016
35,6050,7,6500,10,right,1,12,48.138,Wed Apr 13 15:30:36 2016
36,6500,10,5150,1,right,0,18,39.312,Wed Apr 13 15:31:17 2016
37,6050,7,6200,8,right,1,7,6.829,Wed Apr 13 15:31:24 2016
38,6350,9,6050,7,left,1,10,70.262,Wed Apr 13 15:32:35 2016
39,6500,10,6050,7,left,1,12,8.431,Wed Apr 13 15:32:45 2016
40,6050,7,6200,8,right,1,7,5.976,Wed Apr 13 15:32:52 2016
41,6350,9,5450,3,left,1,15,40.795,Wed Apr 13 15:33:34 2016
42,6050,7,6500,10,right,1,12,13.303,Wed Apr 13 15:33:49 2016
43,6350,9,6050,7,left,1,10,11.066,Wed Apr 13 15:34:01 2016
44,6350,9,5450,3,left,1,15,28.818,Wed Apr 13 15:34:31 2016
45,6350,9,6500,10,right,1,9,28.484,Wed Apr 13 15:35:00 2016
46,5150,1,6050,7,left,0,16,82.81,Wed Apr 13 15:36:25 2016
47,6350,9,5450,3,left,1,15,26.88,Wed Apr 13 15:36:53 2016
48,1450,10,1250,4,right,0,23,12.987,Wed Apr 13 15:37:07 2016
49,5450,3,5300,2,left,1,2,7.379,Wed Apr 13 15:37:15 2016
50,5300,2,6200,8,right,1,13,27.15,Wed Apr 13 15:37:43 2016
