trial,money_left,weeks_left,money_right,weeks_right,choice,biggerchosen,pair,time,date
1,5600,4,5300,2,left,1,5,5.76,Thu May 12 12:06:09 2016
2,1250,4,1450,10,right,1,23,5.295,Thu May 12 12:06:15 2016
3,5600,4,5450,3,left,1,3,2.958,Thu May 12 12:06:19 2016
4,5300,2,6200,8,right,1,13,2.809,Thu May 12 12:06:22 2016
5,5600,4,5300,2,right,0,5,3.994,Thu May 12 12:06:26 2016
6,5450,3,5600,4,right,1,3,2.459,Thu May 12 12:06:29 2016
7,1150,1,1450,10,right,1,24,4.56,Thu May 12 12:06:34 2016
8,5450,3,5150,1,left,1,4,7.147,Thu May 12 12:06:42 2016
9,1250,4,1450,10,left,0,23,18.859,Thu May 12 12:07:01 2016
10,5450,3,6350,9,right,1,15,2.175,Thu May 12 12:07:04 2016
11,1250,4,1150,1,left,1,19,4.794,Thu May 12 12:07:09 2016
12,5150,1,6050,7,right,1,16,3.292,Thu May 12 12:07:12 2016
13,5600,4,6050,7,left,0,14,2.925,Thu May 12 12:07:16 2016
14,6350,9,5450,3,left,1,15,2.359,Thu May 12 12:07:18 2016
15,5150,1,6500,10,right,1,18,3.326,Thu May 12 12:07:22 2016
16,6350,9,6200,8,right,0,8,18.043,Thu May 12 12:07:41 2016
17,1250,4,1450,10,right,1,23,3.793,Thu May 12 12:07:45 2016
18,6350,9,5450,3,left,1,15,8.148,Thu May 12 12:07:53 2016
19,5300,2,5150,1,left,1,1,1.86,Thu May 12 12:07:55 2016
20,1250,4,1150,1,right,0,19,3.026,Thu May 12 12:07:59 2016
21,6050,7,5150,1,right,0,16,5.094,Thu May 12 12:08:04 2016
22,5600,4,5150,1,right,0,6,1.526,Thu May 12 12:08:06 2016
23,6350,9,6200,8,right,0,8,2.577,Thu May 12 12:08:09 2016
24,6050,7,6350,9,right,1,10,4.245,Thu May 12 12:08:14 2016
25,6350,9,6500,10,right,1,9,3.042,Thu May 12 12:08:17 2016
26,6500,10,6200,8,left,1,11,3.06,Thu May 12 12:08:20 2016
27,6500,10,5600,4,left,1,17,3.193,Thu May 12 12:08:24 2016
28,6200,8,6500,10,right,1,11,2.793,Thu May 12 12:08:27 2016
29,6500,10,6350,9,left,1,9,4.544,Thu May 12 12:08:32 2016
30,5150,1,6050,7,right,1,16,7.198,Thu May 12 12:08:40 2016
31,6050,7,6350,9,right,1,10,2.375,Thu May 12 12:08:42 2016
32,5600,4,5300,2,left,1,5,1.875,Thu May 12 12:08:45 2016
33,5600,4,5450,3,right,0,3,3.06,Thu May 12 12:08:48 2016
34,6500,10,5600,4,right,0,17,5.946,Thu May 12 12:08:54 2016
35,6050,7,5600,4,right,0,14,2.256,Thu May 12 12:08:57 2016
36,5600,4,5300,2,left,1,5,3.962,Thu May 12 12:09:01 2016
37,1250,4,1350,7,left,0,20,7.346,Thu May 12 12:09:09 2016
38,1150,1,1350,7,right,1,22,2.526,Thu May 12 12:09:12 2016
39,5600,4,5150,1,left,1,6,4.026,Thu May 12 12:09:16 2016
40,6350,9,5450,3,right,0,15,6.014,Thu May 12 12:09:23 2016
41,1250,4,1350,7,left,0,20,7.847,Thu May 12 12:09:31 2016
42,5300,2,5150,1,left,1,1,2.727,Thu May 12 12:09:34 2016
43,5450,3,5150,1,left,1,4,2.942,Thu May 12 12:09:37 2016
44,6050,7,6200,8,right,1,7,2.842,Thu May 12 12:09:40 2016
45,5600,4,6500,10,right,1,17,5.528,Thu May 12 12:09:46 2016
46,5450,3,6350,9,left,0,15,4.946,Thu May 12 12:09:52 2016
47,6050,7,5150,1,right,0,16,2.04,Thu May 12 12:09:54 2016
48,6500,10,5150,1,left,1,18,4.095,Thu May 12 12:09:59 2016
49,5450,3,5150,1,right,0,4,3.793,Thu May 12 12:10:03 2016
50,5300,2,5150,1,left,1,1,1.925,Thu May 12 12:10:05 2016
51,1150,1,1350,7,left,0,22,8.147,Thu May 12 12:10:13 2016
52,1450,10,1250,4,right,0,23,14.038,Thu May 12 12:10:28 2016
53,6200,8,6050,7,left,1,7,2.757,Thu May 12 12:10:31 2016
54,5300,2,5600,4,right,1,5,2.225,Thu May 12 12:10:34 2016
55,5150,1,5450,3,right,1,4,2.459,Thu May 12 12:10:36 2016
56,6500,10,5600,4,left,1,17,7.032,Thu May 12 12:10:44 2016
57,6500,10,6050,7,left,1,12,54.765,Thu May 12 12:11:39 2016
58,1150,1,1350,7,left,0,22,4.243,Thu May 12 12:11:43 2016
