trial,money_left,weeks_left,money_right,weeks_right,choice,biggerchosen,pair,time,date
1,6200,8,6350,9,right,1,8,8.479,Thu May 12 11:13:13 2016
2,5150,1,6500,10,left,0,18,17.006,Thu May 12 11:13:31 2016
3,1450,10,1250,4,right,0,23,11.001,Thu May 12 11:13:43 2016
4,5600,4,5450,3,left,1,3,4.109,Thu May 12 11:13:49 2016
5,1150,1,1350,7,left,0,22,5.144,Thu May 12 11:13:55 2016
6,6350,9,6200,8,right,0,8,4.945,Thu May 12 11:14:01 2016
7,6200,8,5300,2,right,0,13,7.546,Thu May 12 11:14:10 2016
8,1350,7,1150,1,right,0,22,3.928,Thu May 12 11:14:14 2016
9,1150,1,1350,7,left,0,22,5.662,Thu May 12 11:14:21 2016
10,5150,1,6050,7,left,0,16,6.129,Thu May 12 11:14:28 2016
11,1350,7,1450,10,left,0,21,3.524,Thu May 12 11:14:33 2016
12,5150,1,6050,7,left,0,16,12.572,Thu May 12 11:14:46 2016
13,6500,10,6200,8,right,0,11,3.993,Thu May 12 11:14:51 2016
14,1250,4,1350,7,left,0,20,3.661,Thu May 12 11:14:56 2016
15,6200,8,6500,10,left,0,11,7.112,Thu May 12 11:15:04 2016
16,5450,3,5300,2,left,1,2,4.378,Thu May 12 11:15:09 2016
17,6500,10,6350,9,left,1,9,4.794,Thu May 12 11:15:15 2016
18,1450,10,1150,1,right,0,24,4.076,Thu May 12 11:15:20 2016
19,5600,4,6500,10,left,0,17,3.443,Thu May 12 11:15:25 2016
20,5150,1,5600,4,right,1,6,10.668,Thu May 12 11:15:36 2016
21,6050,7,5150,1,right,0,16,2.775,Thu May 12 11:15:40 2016
22,5600,4,5300,2,right,0,5,8.315,Thu May 12 11:15:49 2016
23,6200,8,5300,2,right,0,13,3.275,Thu May 12 11:15:52 2016
24,1450,10,1150,1,right,0,24,3.694,Thu May 12 11:15:57 2016
25,5600,4,5150,1,right,0,6,3.977,Thu May 12 11:16:01 2016
26,1150,1,1350,7,left,0,22,3.343,Thu May 12 11:16:05 2016
27,5300,2,5150,1,left,1,1,3.275,Thu May 12 11:16:09 2016
28,5600,4,6050,7,left,0,14,7.448,Thu May 12 11:16:18 2016
29,5300,2,5150,1,left,1,1,7.313,Thu May 12 11:16:26 2016
30,5450,3,5600,4,right,1,3,3.492,Thu May 12 11:16:30 2016
31,1250,4,1350,7,left,0,20,4.175,Thu May 12 11:16:36 2016
32,5300,2,5600,4,right,1,5,5.029,Thu May 12 11:16:42 2016
33,5600,4,6500,10,left,0,17,3.609,Thu May 12 11:16:46 2016
34,5600,4,6050,7,left,0,14,2.809,Thu May 12 11:16:49 2016
35,5600,4,5450,3,left,1,3,4.593,Thu May 12 11:16:54 2016
36,5150,1,5450,3,right,1,4,3.225,Thu May 12 11:16:58 2016
37,6050,7,6350,9,left,0,10,2.708,Thu May 12 11:17:01 2016
38,6200,8,5300,2,right,0,13,3.576,Thu May 12 11:17:05 2016
39,6350,9,6050,7,left,1,10,6.595,Thu May 12 11:17:13 2016
40,6050,7,6350,9,right,1,10,4.978,Thu May 12 11:17:18 2016
41,5300,2,5150,1,left,1,1,2.74,Thu May 12 11:17:22 2016
42,1450,10,1350,7,right,0,21,3.961,Thu May 12 11:17:26 2016
43,1250,4,1450,10,left,0,23,2.959,Thu May 12 11:17:30 2016
44,1150,1,1250,4,left,0,19,4.596,Thu May 12 11:17:35 2016
45,6050,7,5600,4,right,0,14,3.075,Thu May 12 11:17:39 2016
46,5600,4,5450,3,left,1,3,3.211,Thu May 12 11:17:43 2016
47,1150,1,1250,4,left,0,19,3.542,Thu May 12 11:17:47 2016
48,6500,10,6350,9,left,1,9,9.067,Thu May 12 11:17:58 2016
49,5600,4,6500,10,left,0,17,3.125,Thu May 12 11:18:01 2016
50,5300,2,5150,1,left,1,1,3.743,Thu May 12 11:18:06 2016
51,5300,2,6200,8,left,0,13,6.062,Thu May 12 11:18:12 2016
52,6050,7,6500,10,left,0,12,3.261,Thu May 12 11:18:16 2016
53,5150,1,6050,7,left,0,16,2.723,Thu May 12 11:18:20 2016
54,1150,1,1450,10,left,0,24,5.945,Thu May 12 11:18:26 2016
55,1350,7,1250,4,right,0,20,7.447,Thu May 12 11:18:34 2016
56,6350,9,5450,3,right,0,15,6.496,Thu May 12 11:18:42 2016
57,6350,9,6200,8,left,1,8,5.562,Thu May 12 11:18:48 2016
58,6500,10,6050,7,right,0,12,3.995,Thu May 12 11:18:53 2016
59,1450,10,1350,7,right,0,21,5.179,Thu May 12 11:18:59 2016
60,5600,4,6500,10,left,0,17,4.96,Thu May 12 11:19:05 2016
61,5300,2,5450,3,right,1,2,14.603,Thu May 12 11:19:21 2016
62,6050,7,6500,10,left,0,12,4.394,Thu May 12 11:19:27 2016
63,1150,1,1250,4,left,0,19,4.544,Thu May 12 11:19:33 2016
64,6350,9,5450,3,right,0,15,8.549,Thu May 12 11:19:43 2016
65,5150,1,5300,2,right,1,1,10.565,Thu May 12 11:19:55 2016
66,6050,7,5150,1,right,0,16,7.581,Thu May 12 11:20:04 2016
67,1450,10,1350,7,right,0,21,4.594,Thu May 12 11:20:09 2016
68,6350,9,6050,7,left,1,10,8.682,Thu May 12 11:20:19 2016
69,6500,10,5150,1,right,0,18,2.826,Thu May 12 11:20:22 2016
70,6350,9,5450,3,right,0,15,4.944,Thu May 12 11:20:28 2016
71,6500,10,6350,9,left,1,9,4.893,Thu May 12 11:20:33 2016
72,6350,9,6050,7,right,0,10,4.428,Thu May 12 11:20:38 2016
73,6500,10,6200,8,left,1,11,5.378,Thu May 12 11:20:44 2016
74,1450,10,1250,4,right,0,23,4.911,Thu May 12 11:20:50 2016
75,5150,1,5450,3,right,1,4,5.361,Thu May 12 11:20:56 2016
76,5450,3,6350,9,left,0,15,4.226,Thu May 12 11:21:01 2016
77,6350,9,5450,3,right,0,15,5.211,Thu May 12 11:21:07 2016
78,1350,7,1150,1,right,0,22,5.613,Thu May 12 11:21:13 2016
79,6500,10,6350,9,left,1,9,5.011,Thu May 12 11:21:18 2016
80,1150,1,1450,10,left,0,24,15.64,Thu May 12 11:21:34 2016
81,5450,3,5600,4,right,1,3,3.825,Thu May 12 11:21:39 2016
82,1150,1,1450,10,left,0,24,2.809,Thu May 12 11:21:42 2016
83,5300,2,5600,4,right,1,5,2.49,Thu May 12 11:21:45 2016
84,5150,1,6050,7,left,0,16,2.959,Thu May 12 11:21:49 2016
85,6500,10,6200,8,left,1,11,3.609,Thu May 12 11:21:53 2016
86,6500,10,6350,9,left,1,9,6.045,Thu May 12 11:21:59 2016
87,6050,7,6200,8,right,1,7,4.31,Thu May 12 11:22:04 2016
88,1150,1,1350,7,left,0,22,3.575,Thu May 12 11:22:08 2016
89,5150,1,5600,4,left,0,6,4.528,Thu May 12 11:22:14 2016
90,5450,3,6350,9,left,0,15,3.442,Thu May 12 11:22:18 2016
91,5600,4,5450,3,left,1,3,3.575,Thu May 12 11:22:22 2016
92,5450,3,5150,1,left,1,4,3.877,Thu May 12 11:22:27 2016
93,5600,4,6500,10,left,0,17,3.176,Thu May 12 11:22:31 2016
94,6200,8,6050,7,left,1,7,5.929,Thu May 12 11:22:37 2016
95,5150,1,6500,10,left,0,18,3.793,Thu May 12 11:22:43 2016
96,6050,7,6500,10,left,0,12,2.709,Thu May 12 11:22:48 2016
97,5450,3,5300,2,left,1,2,1.908,Thu May 12 11:22:50 2016
98,6350,9,6200,8,left,1,8,2.425,Thu May 12 11:22:53 2016
99,5450,3,5600,4,right,1,3,1.724,Thu May 12 11:22:56 2016
100,6050,7,5150,1,right,0,16,2.009,Thu May 12 11:22:58 2016
101,5150,1,5450,3,right,1,4,3.242,Thu May 12 11:23:02 2016
102,5600,4,6500,10,left,0,17,1.975,Thu May 12 11:23:05 2016
103,1250,4,1450,10,left,0,23,1.574,Thu May 12 11:23:07 2016
104,5450,3,5150,1,left,1,4,1.575,Thu May 12 11:23:10 2016
105,5600,4,5150,1,right,0,6,2.825,Thu May 12 11:23:13 2016
106,5300,2,5150,1,left,1,1,2.443,Thu May 12 11:23:16 2016
107,1250,4,1150,1,right,0,19,2.658,Thu May 12 11:23:20 2016
108,5600,4,5150,1,right,0,6,1.725,Thu May 12 11:23:22 2016
109,5150,1,6500,10,left,0,18,2.273,Thu May 12 11:23:25 2016
110,6050,7,6500,10,left,0,12,3.291,Thu May 12 11:23:29 2016
111,6050,7,5600,4,right,0,14,3.158,Thu May 12 11:23:33 2016
112,5450,3,5600,4,right,1,3,2.109,Thu May 12 11:23:35 2016
113,1450,10,1250,4,right,0,23,1.857,Thu May 12 11:23:38 2016
114,1250,4,1150,1,right,0,19,2.01,Thu May 12 11:23:41 2016
115,5150,1,5450,3,right,1,4,3.309,Thu May 12 11:23:45 2016
116,1350,7,1150,1,right,0,22,4.162,Thu May 12 11:23:50 2016
117,5600,4,5300,2,left,1,5,2.342,Thu May 12 11:23:52 2016
118,6350,9,6200,8,left,1,8,2.575,Thu May 12 11:23:55 2016
119,1350,7,1250,4,right,0,20,6.179,Thu May 12 11:24:02 2016
120,6050,7,6350,9,right,1,10,2.225,Thu May 12 11:24:05 2016
