trial,money_left,weeks_left,money_right,weeks_right,choice,biggerchosen,pair,time,date
1,1250,4,1450,10,left,0,23,4.954,Tue Apr 12 14:17:31 2016
2,5300,2,5450,3,left,0,2,5.589,Tue Apr 12 14:17:38 2016
3,6500,10,6200,8,left,1,11,15.382,Tue Apr 12 14:17:54 2016
4,5300,2,5600,4,left,0,5,6.607,Tue Apr 12 14:18:02 2016
5,5150,1,5450,3,left,0,4,3.302,Tue Apr 12 14:18:06 2016
6,5450,3,6350,9,left,0,15,15.103,Tue Apr 12 14:18:21 2016
7,5450,3,5300,2,right,0,2,5.04,Tue Apr 12 14:18:27 2016
8,6350,9,6050,7,left,1,10,5.056,Tue Apr 12 14:18:32 2016
9,6200,8,6500,10,left,0,11,3.17,Tue Apr 12 14:18:36 2016
10,6350,9,6050,7,left,1,10,5.141,Tue Apr 12 14:18:42 2016
11,6200,8,6350,9,left,0,8,7.275,Tue Apr 12 14:18:50 2016
12,6350,9,6500,10,left,0,9,5.421,Tue Apr 12 14:18:56 2016
13,6350,9,6500,10,left,0,9,6.205,Tue Apr 12 14:19:02 2016
14,5600,4,6500,10,left,0,17,26.328,Tue Apr 12 14:19:29 2016
15,6350,9,6050,7,right,0,10,12.746,Tue Apr 12 14:19:43 2016
16,5150,1,5300,2,left,0,1,3.055,Tue Apr 12 14:19:46 2016
17,5450,3,5150,1,right,0,4,3.487,Tue Apr 12 14:19:50 2016
18,1150,1,1450,10,left,0,24,2.488,Tue Apr 12 14:19:53 2016
19,5600,4,6500,10,left,0,17,7.157,Tue Apr 12 14:20:00 2016
20,5150,1,5600,4,left,0,6,3.219,Tue Apr 12 14:20:04 2016
21,6050,7,6200,8,left,0,7,4.253,Tue Apr 12 14:20:09 2016
22,1450,10,1350,7,right,0,21,3.456,Tue Apr 12 14:20:12 2016
23,6050,7,5600,4,right,0,14,2.353,Tue Apr 12 14:20:15 2016
24,5300,2,5450,3,left,0,2,2.038,Tue Apr 12 14:20:18 2016
25,6350,9,6200,8,right,0,8,2.236,Tue Apr 12 14:20:20 2016
26,1250,4,1150,1,right,0,19,1.904,Tue Apr 12 14:20:23 2016
27,5450,3,6350,9,left,0,15,4.488,Tue Apr 12 14:20:28 2016
28,6350,9,5450,3,right,0,15,1.602,Tue Apr 12 14:20:30 2016
29,6350,9,6050,7,right,0,10,5.022,Tue Apr 12 14:20:35 2016
30,5300,2,5450,3,left,0,2,2.138,Tue Apr 12 14:20:38 2016
31,1350,7,1150,1,right,0,22,2.435,Tue Apr 12 14:20:40 2016
32,6050,7,6500,10,left,0,12,2.254,Tue Apr 12 14:20:43 2016
33,5300,2,5150,1,right,0,1,6.424,Tue Apr 12 14:20:50 2016
34,6050,7,5600,4,right,0,14,2.035,Tue Apr 12 14:20:52 2016
35,1350,7,1150,1,right,0,22,3.403,Tue Apr 12 14:20:56 2016
36,6350,9,6050,7,right,0,10,3.323,Tue Apr 12 14:21:00 2016
37,5600,4,5150,1,right,0,6,8.225,Tue Apr 12 14:21:09 2016
38,6350,9,6200,8,right,0,8,8.643,Tue Apr 12 14:21:18 2016
39,5150,1,6500,10,left,0,18,2.687,Tue Apr 12 14:21:22 2016
40,1350,7,1250,4,right,0,20,7.442,Tue Apr 12 14:21:30 2016
41,5300,2,5600,4,left,0,5,6.124,Tue Apr 12 14:21:37 2016
42,6200,8,6350,9,left,0,8,5.69,Tue Apr 12 14:21:44 2016
43,5300,2,5600,4,left,0,5,5.155,Tue Apr 12 14:21:50 2016
44,5450,3,6350,9,left,0,15,6.543,Tue Apr 12 14:21:57 2016
45,5600,4,6050,7,left,0,14,3.203,Tue Apr 12 14:22:00 2016
46,1450,10,1250,4,right,0,23,1.905,Tue Apr 12 14:22:03 2016
47,5600,4,5450,3,right,0,3,3.135,Tue Apr 12 14:22:06 2016
48,1150,1,1350,7,left,0,22,4.039,Tue Apr 12 14:22:11 2016
49,5600,4,5150,1,right,0,6,2.285,Tue Apr 12 14:22:13 2016
50,5150,1,5600,4,left,0,6,1.92,Tue Apr 12 14:22:16 2016
51,1250,4,1350,7,left,0,20,3.471,Tue Apr 12 14:22:20 2016
52,1150,1,1350,7,left,0,22,4.639,Tue Apr 12 14:22:25 2016
53,1150,1,1450,10,left,0,24,3.353,Tue Apr 12 14:22:29 2016
54,6200,8,6500,10,left,0,11,3.691,Tue Apr 12 14:22:33 2016
55,1150,1,1350,7,left,0,22,2.335,Tue Apr 12 14:22:36 2016
56,1350,7,1450,10,left,0,21,2.52,Tue Apr 12 14:22:39 2016
