trial,money_left,weeks_left,money_right,weeks_right,choice,biggerchosen,pair,time,date
1,5300,2,5450,3,right,1,2,3.891,Thu May  5 16:14:13 2016
2,1250,4,1350,7,right,1,20,6.828,Thu May  5 16:14:21 2016
3,5150,1,5300,2,right,1,1,2.592,Thu May  5 16:14:24 2016
4,6500,10,6050,7,left,1,12,6.047,Thu May  5 16:14:31 2016
5,6200,8,6350,9,right,1,8,2.924,Thu May  5 16:14:34 2016
6,5300,2,5150,1,left,1,1,5.528,Thu May  5 16:14:40 2016
7,5150,1,5300,2,right,1,1,2.005,Thu May  5 16:14:42 2016
8,1450,10,1150,1,right,0,24,14.189,Thu May  5 16:14:57 2016
9,6200,8,6500,10,right,1,11,3.276,Thu May  5 16:15:00 2016
10,5150,1,5600,4,right,1,6,4.394,Thu May  5 16:15:05 2016
11,6050,7,6500,10,right,1,12,2.758,Thu May  5 16:15:08 2016
12,5150,1,6050,7,right,1,16,3.862,Thu May  5 16:15:13 2016
13,6050,7,5150,1,left,1,16,1.657,Thu May  5 16:15:15 2016
14,5150,1,5600,4,right,1,6,2.26,Thu May  5 16:15:17 2016
15,1350,7,1450,10,right,1,21,4.059,Thu May  5 16:15:22 2016
16,1250,4,1350,7,right,1,20,2.575,Thu May  5 16:15:25 2016
17,5600,4,5450,3,left,1,3,3.058,Thu May  5 16:15:28 2016
18,6050,7,5600,4,left,1,14,2.443,Thu May  5 16:15:31 2016
19,5150,1,5450,3,right,1,4,2.141,Thu May  5 16:15:34 2016
20,6200,8,6350,9,right,1,8,3.16,Thu May  5 16:15:37 2016
21,6350,9,5450,3,left,1,15,2.024,Thu May  5 16:15:40 2016
22,5300,2,5150,1,left,1,1,1.726,Thu May  5 16:15:42 2016
23,5150,1,6050,7,right,1,16,2.224,Thu May  5 16:15:45 2016
24,1150,1,1350,7,left,0,22,6.58,Thu May  5 16:15:51 2016
25,6200,8,6050,7,left,1,7,3.558,Thu May  5 16:15:55 2016
26,6050,7,6350,9,right,1,10,3.076,Thu May  5 16:15:59 2016
27,6500,10,5150,1,left,1,18,1.657,Thu May  5 16:16:01 2016
28,6200,8,6500,10,right,1,11,6.18,Thu May  5 16:16:08 2016
29,6500,10,6350,9,left,1,9,4.761,Thu May  5 16:16:13 2016
30,5150,1,5600,4,right,1,6,4.058,Thu May  5 16:16:18 2016
31,1250,4,1350,7,right,1,20,3.391,Thu May  5 16:16:22 2016
32,6350,9,5450,3,left,1,15,7.197,Thu May  5 16:16:29 2016
33,5450,3,5150,1,left,1,4,3.959,Thu May  5 16:16:33 2016
34,6350,9,5450,3,left,1,15,1.858,Thu May  5 16:16:36 2016
35,1150,1,1450,10,left,0,24,6.895,Thu May  5 16:16:43 2016
36,6350,9,6050,7,left,1,10,2.542,Thu May  5 16:16:46 2016
37,5600,4,6500,10,right,1,17,3.241,Thu May  5 16:16:50 2016
38,1350,7,1450,10,right,1,21,2.208,Thu May  5 16:16:52 2016
39,6050,7,6200,8,right,1,7,3.193,Thu May  5 16:16:56 2016
40,5150,1,6050,7,right,1,16,6.331,Thu May  5 16:17:02 2016
41,1450,10,1250,4,left,1,23,2.957,Thu May  5 16:17:06 2016
42,5450,3,5600,4,right,1,3,5.745,Thu May  5 16:17:12 2016
43,5300,2,6200,8,right,1,13,2.607,Thu May  5 16:17:15 2016
44,6500,10,6350,9,left,1,9,6.546,Thu May  5 16:17:22 2016
45,1150,1,1250,4,right,1,19,2.574,Thu May  5 16:17:25 2016
46,1150,1,1450,10,right,1,24,2.441,Thu May  5 16:17:28 2016
47,6200,8,5300,2,left,1,13,2.842,Thu May  5 16:17:31 2016
48,5600,4,5300,2,left,1,5,2.559,Thu May  5 16:17:33 2016
49,5300,2,6200,8,right,1,13,3.258,Thu May  5 16:17:37 2016
50,5450,3,5300,2,left,1,2,2.192,Thu May  5 16:17:39 2016
51,6500,10,6050,7,left,1,12,3.791,Thu May  5 16:17:44 2016
52,6350,9,6050,7,left,1,10,2.208,Thu May  5 16:17:46 2016
53,5600,4,5300,2,left,1,5,2.324,Thu May  5 16:17:49 2016
54,6500,10,6200,8,left,1,11,2.092,Thu May  5 16:17:51 2016
55,6200,8,6050,7,left,1,7,2.207,Thu May  5 16:17:54 2016
56,6500,10,5150,1,left,1,18,1.909,Thu May  5 16:17:56 2016
57,1150,1,1450,10,left,0,24,2.826,Thu May  5 16:17:59 2016
58,6200,8,6050,7,left,1,7,2.46,Thu May  5 16:18:01 2016
59,6050,7,6500,10,right,1,12,2.257,Thu May  5 16:18:04 2016
60,5450,3,5300,2,left,1,2,1.992,Thu May  5 16:18:06 2016
61,5600,4,6500,10,right,1,17,4.905,Thu May  5 16:18:12 2016
62,1250,4,1150,1,right,0,19,8.114,Thu May  5 16:18:20 2016
63,5300,2,5600,4,right,1,5,2.291,Thu May  5 16:18:23 2016
64,5300,2,5450,3,right,1,2,3.026,Thu May  5 16:18:26 2016
65,1350,7,1450,10,right,1,21,2.825,Thu May  5 16:18:29 2016
66,6200,8,6350,9,right,1,8,4.894,Thu May  5 16:18:34 2016
67,6050,7,6200,8,right,1,7,2.091,Thu May  5 16:18:36 2016
68,1450,10,1250,4,left,1,23,2.024,Thu May  5 16:18:38 2016
69,6350,9,6050,7,left,1,10,2.14,Thu May  5 16:18:41 2016
70,1450,10,1250,4,left,1,23,2.592,Thu May  5 16:18:44 2016
71,6500,10,6050,7,left,1,12,2.207,Thu May  5 16:18:46 2016
72,6500,10,6200,8,left,1,11,1.941,Thu May  5 16:18:48 2016
73,5450,3,5150,1,left,1,4,2.092,Thu May  5 16:18:51 2016
74,5150,1,6500,10,right,1,18,2.142,Thu May  5 16:18:53 2016
75,1150,1,1250,4,right,1,19,3.025,Thu May  5 16:18:56 2016
76,6050,7,6500,10,right,1,12,1.708,Thu May  5 16:18:58 2016
77,5300,2,5150,1,left,1,1,2.474,Thu May  5 16:19:01 2016
78,1150,1,1350,7,right,1,22,2.224,Thu May  5 16:19:04 2016
79,1450,10,1250,4,left,1,23,6.363,Thu May  5 16:19:11 2016
80,5150,1,6500,10,left,0,18,12.419,Thu May  5 16:19:23 2016
81,5600,4,5450,3,left,1,3,1.942,Thu May  5 16:19:26 2016
82,5300,2,5150,1,left,1,1,2.692,Thu May  5 16:19:29 2016
83,1350,7,1450,10,right,1,21,3.526,Thu May  5 16:19:33 2016
84,1450,10,1150,1,left,1,24,1.992,Thu May  5 16:19:35 2016
85,5600,4,6500,10,right,1,17,3.09,Thu May  5 16:19:38 2016
86,6500,10,6350,9,left,1,9,2.509,Thu May  5 16:19:41 2016
87,1350,7,1250,4,left,1,20,2.374,Thu May  5 16:19:44 2016
88,5600,4,5450,3,left,1,3,3.844,Thu May  5 16:19:48 2016
89,6050,7,5150,1,left,1,16,1.156,Thu May  5 16:19:49 2016
90,5450,3,5600,4,right,1,3,2.909,Thu May  5 16:19:52 2016
91,5600,4,5300,2,left,1,5,2.725,Thu May  5 16:19:55 2016
92,6500,10,5150,1,left,1,18,2.073,Thu May  5 16:19:57 2016
93,5150,1,6050,7,right,1,16,1.207,Thu May  5 16:19:59 2016
94,1350,7,1150,1,left,1,22,1.724,Thu May  5 16:20:01 2016
95,6050,7,6350,9,right,1,10,1.673,Thu May  5 16:20:03 2016
96,1350,7,1450,10,right,1,21,2.074,Thu May  5 16:20:05 2016
97,5450,3,5600,4,right,1,3,3.209,Thu May  5 16:20:08 2016
98,6500,10,5600,4,right,0,17,5.861,Thu May  5 16:20:14 2016
99,5600,4,6500,10,left,0,17,3.609,Thu May  5 16:20:18 2016
100,6050,7,5600,4,left,1,14,2.058,Thu May  5 16:20:21 2016
101,1450,10,1150,1,right,0,24,5.458,Thu May  5 16:20:26 2016
102,6350,9,6050,7,left,1,10,3.676,Thu May  5 16:20:30 2016
103,5600,4,5300,2,left,1,5,1.471,Thu May  5 16:20:32 2016
104,6500,10,5600,4,left,1,17,3.176,Thu May  5 16:20:36 2016
105,6350,9,5450,3,left,1,15,6.294,Thu May  5 16:20:42 2016
