trial,money_left,weeks_left,money_right,weeks_right,choice,biggerchosen,pair,time,date
1,1250,4,1150,1,right,0,19,28.884,Thu Apr 14 13:31:08 2016
2,5450,3,6350,9,left,0,15,14.437,Thu Apr 14 13:31:23 2016
3,6500,10,5150,1,right,0,18,20.71,Thu Apr 14 13:31:45 2016
4,1150,1,1350,7,left,0,22,9.114,Thu Apr 14 13:31:55 2016
5,1350,7,1150,1,right,0,22,13.97,Thu Apr 14 13:32:10 2016
6,5600,4,5450,3,left,1,3,26.618,Thu Apr 14 13:32:38 2016
7,1450,10,1250,4,right,0,23,6.98,Thu Apr 14 13:32:46 2016
8,1250,4,1450,10,left,0,23,7.565,Thu Apr 14 13:32:55 2016
9,6050,7,6350,9,left,0,10,7.713,Thu Apr 14 13:33:04 2016
10,6050,7,5150,1,right,0,16,5.862,Thu Apr 14 13:33:11 2016
11,1450,10,1150,1,right,0,24,5.227,Thu Apr 14 13:33:17 2016
12,6500,10,5150,1,right,0,18,6.113,Thu Apr 14 13:33:24 2016
13,5600,4,5300,2,right,0,5,11.917,Thu Apr 14 13:33:37 2016
14,5450,3,5600,4,right,1,3,8.032,Thu Apr 14 13:33:46 2016
15,1450,10,1250,4,right,0,23,11.218,Thu Apr 14 13:33:58 2016
16,5150,1,5600,4,left,0,6,8.682,Thu Apr 14 13:34:07 2016
17,6500,10,5150,1,right,0,18,9.282,Thu Apr 14 13:34:17 2016
18,6500,10,5150,1,left,1,18,13.921,Thu Apr 14 13:34:32 2016
19,6350,9,6500,10,left,0,9,19.459,Thu Apr 14 13:34:52 2016
20,5600,4,5300,2,right,0,5,10.466,Thu Apr 14 13:35:03 2016
21,1250,4,1350,7,left,0,20,6.411,Thu Apr 14 13:35:11 2016
22,5300,2,5450,3,left,0,2,34.359,Thu Apr 14 13:35:46 2016
23,1250,4,1450,10,left,0,23,7.363,Thu Apr 14 13:35:55 2016
24,1450,10,1250,4,right,0,23,10.534,Thu Apr 14 13:36:06 2016
25,5600,4,6500,10,left,0,17,5.711,Thu Apr 14 13:36:13 2016
26,5150,1,5600,4,left,0,6,10.884,Thu Apr 14 13:36:25 2016
27,5300,2,6200,8,left,0,13,7.965,Thu Apr 14 13:36:39 2016
28,6050,7,6350,9,left,0,10,8.798,Thu Apr 14 13:36:48 2016
29,5450,3,5600,4,left,0,3,14.838,Thu Apr 14 13:37:05 2016
30,6350,9,5450,3,right,0,15,4.078,Thu Apr 14 13:37:10 2016
31,6200,8,5300,2,right,0,13,6.762,Thu Apr 14 13:37:17 2016
32,1450,10,1150,1,right,0,24,5.597,Thu Apr 14 13:37:24 2016
33,6500,10,5600,4,right,0,17,7.83,Thu Apr 14 13:37:32 2016
34,5150,1,5300,2,left,0,1,7.065,Thu Apr 14 13:37:40 2016
35,1150,1,1350,7,left,0,22,6.445,Thu Apr 14 13:37:47 2016
36,6500,10,6200,8,right,0,11,17.959,Thu Apr 14 13:38:06 2016
37,6350,9,6050,7,right,0,10,10.966,Thu Apr 14 13:38:17 2016
38,6050,7,6350,9,left,0,10,6.647,Thu Apr 14 13:38:26 2016
39,1250,4,1150,1,right,0,19,4.11,Thu Apr 14 13:38:30 2016
40,5600,4,5300,2,right,0,5,9.783,Thu Apr 14 13:38:41 2016
41,5600,4,6500,10,left,0,17,8.03,Thu Apr 14 13:38:51 2016
42,5150,1,5300,2,left,0,1,9.166,Thu Apr 14 13:39:00 2016
43,1150,1,1450,10,left,0,24,6.544,Thu Apr 14 13:39:08 2016
44,6200,8,5300,2,right,0,13,5.212,Thu Apr 14 13:39:14 2016
45,5600,4,6050,7,left,0,14,7.28,Thu Apr 14 13:39:22 2016
46,6500,10,5600,4,right,0,17,6.479,Thu Apr 14 13:39:29 2016
47,5150,1,5600,4,left,0,6,7.814,Thu Apr 14 13:39:38 2016
48,1450,10,1350,7,left,1,21,10.318,Thu Apr 14 13:39:49 2016
49,6350,9,6200,8,right,0,8,25.131,Thu Apr 14 13:40:14 2016
50,1250,4,1350,7,left,0,20,5.812,Thu Apr 14 13:40:23 2016
51,5150,1,6500,10,left,0,18,5.727,Thu Apr 14 13:40:30 2016
52,5150,1,5600,4,left,0,6,6.245,Thu Apr 14 13:40:37 2016
53,6200,8,6050,7,left,1,7,5.811,Thu Apr 14 13:40:43 2016
54,6350,9,6500,10,left,0,9,21.093,Thu Apr 14 13:41:05 2016
55,5150,1,5450,3,left,0,4,6.681,Thu Apr 14 13:41:12 2016
56,5600,4,6050,7,right,1,14,29.004,Thu Apr 14 13:41:42 2016
57,5600,4,5450,3,right,0,3,5.145,Thu Apr 14 13:41:53 2016
58,6050,7,6500,10,left,0,12,5.33,Thu Apr 14 13:41:59 2016
59,1250,4,1350,7,left,0,20,4.309,Thu Apr 14 13:42:04 2016
60,5600,4,6050,7,left,0,14,4.261,Thu Apr 14 13:42:10 2016
61,1250,4,1350,7,left,0,20,8.381,Thu Apr 14 13:42:19 2016
62,1150,1,1450,10,left,0,24,9.099,Thu Apr 14 13:42:29 2016
63,6200,8,5300,2,right,0,13,4.125,Thu Apr 14 13:42:34 2016
64,6500,10,6200,8,right,0,11,5.129,Thu Apr 14 13:42:40 2016
65,1350,7,1150,1,right,0,22,3.325,Thu Apr 14 13:42:44 2016
66,6500,10,6200,8,right,0,11,10.234,Thu Apr 14 13:42:58 2016
67,6350,9,6200,8,left,1,8,46.303,Thu Apr 14 13:43:45 2016
68,5150,1,6050,7,left,0,16,3.458,Thu Apr 14 13:43:50 2016
69,1150,1,1450,10,left,0,24,3.091,Thu Apr 14 13:43:53 2016
70,6350,9,5450,3,right,0,15,4.175,Thu Apr 14 13:43:58 2016
71,6050,7,6200,8,left,0,7,9.432,Thu Apr 14 13:44:09 2016
72,5300,2,5450,3,right,1,2,24.348,Thu Apr 14 13:44:34 2016
73,5150,1,5600,4,left,0,6,4.71,Thu Apr 14 13:44:39 2016
74,1150,1,1450,10,left,0,24,5.477,Thu Apr 14 13:44:46 2016
75,5150,1,5300,2,left,0,1,7.813,Thu Apr 14 13:44:55 2016
76,6200,8,6350,9,right,1,8,13.804,Thu Apr 14 13:45:09 2016
77,5150,1,6500,10,left,0,18,3.175,Thu Apr 14 13:45:13 2016
78,6350,9,6500,10,left,0,9,15.203,Thu Apr 14 13:45:29 2016
79,1250,4,1450,10,left,0,23,3.191,Thu Apr 14 13:45:33 2016
80,1350,7,1250,4,right,0,20,6.863,Thu Apr 14 13:45:42 2016
81,1250,4,1450,10,left,0,23,3.608,Thu Apr 14 13:45:46 2016
82,5450,3,5300,2,left,1,2,21.879,Thu Apr 14 13:46:10 2016
83,1450,10,1150,1,right,0,24,4.426,Thu Apr 14 13:46:16 2016
84,5450,3,5150,1,right,0,4,8.514,Thu Apr 14 13:46:25 2016
85,1250,4,1150,1,right,0,19,5.794,Thu Apr 14 13:46:32 2016
86,5150,1,5450,3,left,0,4,6.112,Thu Apr 14 13:46:39 2016
87,6050,7,6350,9,left,0,10,8.78,Thu Apr 14 13:46:48 2016
88,5450,3,5600,4,left,0,3,8.448,Thu Apr 14 13:46:57 2016
89,6500,10,5600,4,right,0,17,2.758,Thu Apr 14 13:47:01 2016
90,6200,8,5300,2,right,0,13,6.745,Thu Apr 14 13:47:08 2016
91,6350,9,6050,7,right,0,10,3.491,Thu Apr 14 13:47:13 2016
92,1250,4,1350,7,left,0,20,6.361,Thu Apr 14 13:47:20 2016
93,6500,10,5150,1,right,0,18,10.449,Thu Apr 14 13:47:31 2016
94,5600,4,6050,7,left,0,14,3.493,Thu Apr 14 13:47:36 2016
95,6200,8,6500,10,left,0,11,4.292,Thu Apr 14 13:47:41 2016
96,5450,3,6350,9,left,0,15,5.596,Thu Apr 14 13:47:47 2016
97,6350,9,6200,8,left,1,8,4.076,Thu Apr 14 13:47:52 2016
98,5450,3,5150,1,right,0,4,5.68,Thu Apr 14 13:47:59 2016
99,5150,1,6500,10,left,0,18,5.811,Thu Apr 14 13:48:06 2016
100,6200,8,6350,9,left,0,8,3.859,Thu Apr 14 13:48:10 2016
101,6050,7,6500,10,left,0,12,2.657,Thu Apr 14 13:48:14 2016
102,1250,4,1350,7,left,0,20,5.361,Thu Apr 14 13:48:20 2016
103,5450,3,5600,4,left,0,3,19.574,Thu Apr 14 13:48:40 2016
104,6050,7,5600,4,right,0,14,2.592,Thu Apr 14 13:48:44 2016
105,6500,10,5600,4,right,0,17,7.979,Thu Apr 14 13:48:53 2016
106,1450,10,1350,7,right,0,21,6.497,Thu Apr 14 13:49:00 2016
107,6200,8,6500,10,right,1,11,9.698,Thu Apr 14 13:49:11 2016
108,5450,3,5300,2,right,0,2,6.83,Thu Apr 14 13:49:18 2016
109,5300,2,5150,1,right,0,1,11.917,Thu Apr 14 13:49:31 2016
110,5300,2,6200,8,left,0,13,10.666,Thu Apr 14 13:49:42 2016
111,1450,10,1350,7,right,0,21,5.094,Thu Apr 14 13:49:48 2016
112,6350,9,6050,7,right,0,10,6.613,Thu Apr 14 13:49:56 2016
113,5300,2,5600,4,left,0,5,7.045,Thu Apr 14 13:50:04 2016
114,6500,10,5600,4,right,0,17,6.51,Thu Apr 14 13:50:11 2016
115,6350,9,6500,10,left,0,9,20.494,Thu Apr 14 13:50:32 2016
116,6200,8,6050,7,right,0,7,4.044,Thu Apr 14 13:50:37 2016
117,1350,7,1150,1,right,0,22,7.262,Thu Apr 14 13:50:45 2016
