trial,money_left,weeks_left,money_right,weeks_right,choice,biggerchosen,pair,time,date
1,5300,2,5600,4,left,0,5,11.364,Mon May  2 13:03:07 2016
2,5150,1,5450,3,left,0,4,13.203,Mon May  2 13:03:22 2016
3,5300,2,6200,8,left,0,13,14.586,Mon May  2 13:03:38 2016
4,1150,1,1450,10,left,0,24,11.435,Mon May  2 13:03:51 2016
5,5300,2,5450,3,right,1,2,19.242,Mon May  2 13:04:11 2016
6,5300,2,5150,1,left,1,1,12.736,Mon May  2 13:04:25 2016
7,5450,3,5300,2,left,1,2,8.782,Mon May  2 13:04:35 2016
8,6500,10,5600,4,right,0,17,11.334,Mon May  2 13:04:48 2016
9,5150,1,6500,10,left,0,18,7.063,Mon May  2 13:04:56 2016
10,5150,1,5300,2,right,1,1,8.548,Mon May  2 13:05:06 2016
11,1250,4,1450,10,left,0,23,5.294,Mon May  2 13:05:12 2016
12,5300,2,6200,8,right,1,13,7.164,Mon May  2 13:05:20 2016
13,6200,8,5300,2,right,0,13,8.213,Mon May  2 13:05:29 2016
14,1450,10,1350,7,left,1,21,6.63,Mon May  2 13:05:37 2016
15,6200,8,6500,10,right,1,11,8.382,Mon May  2 13:05:47 2016
16,1150,1,1350,7,left,0,22,5.597,Mon May  2 13:05:53 2016
17,6350,9,6050,7,left,1,10,5.695,Mon May  2 13:06:00 2016
18,5600,4,5450,3,left,1,3,16.274,Mon May  2 13:06:17 2016
19,6500,10,6350,9,left,1,9,3.309,Mon May  2 13:06:21 2016
20,1350,7,1250,4,right,0,20,5.564,Mon May  2 13:06:28 2016
21,5300,2,5150,1,left,1,1,19.609,Mon May  2 13:06:49 2016
22,1350,7,1250,4,right,0,20,6.297,Mon May  2 13:06:56 2016
23,5150,1,5600,4,right,1,6,4.075,Mon May  2 13:07:01 2016
24,6200,8,6500,10,right,1,11,10.016,Mon May  2 13:07:12 2016
25,1250,4,1350,7,right,1,20,9.215,Mon May  2 13:07:22 2016
26,1450,10,1150,1,right,0,24,7.348,Mon May  2 13:07:30 2016
27,6500,10,5150,1,right,0,18,11.884,Mon May  2 13:07:43 2016
28,5300,2,5600,4,left,0,5,6.096,Mon May  2 13:07:50 2016
29,6050,7,6200,8,right,1,7,9.264,Mon May  2 13:08:00 2016
30,5150,1,6050,7,left,0,16,4.812,Mon May  2 13:08:05 2016
31,5300,2,5150,1,left,1,1,7.915,Mon May  2 13:08:14 2016
32,6500,10,6050,7,left,1,12,6.08,Mon May  2 13:08:20 2016
33,6050,7,6200,8,right,1,7,9.564,Mon May  2 13:08:31 2016
34,6050,7,6200,8,right,1,7,4.295,Mon May  2 13:08:38 2016
35,1450,10,1250,4,right,0,23,6.462,Mon May  2 13:08:45 2016
36,6050,7,5150,1,right,0,16,4.327,Mon May  2 13:08:50 2016
37,1450,10,1250,4,right,0,23,4.343,Mon May  2 13:08:55 2016
38,6500,10,5600,4,right,0,17,5.829,Mon May  2 13:09:01 2016
39,5150,1,6500,10,left,0,18,7.746,Mon May  2 13:09:10 2016
40,6200,8,6500,10,right,1,11,5.946,Mon May  2 13:09:17 2016
41,6200,8,6350,9,right,1,8,8.548,Mon May  2 13:09:26 2016
42,6350,9,6050,7,left,1,10,11.035,Mon May  2 13:09:38 2016
43,5300,2,5150,1,left,1,1,3.126,Mon May  2 13:09:42 2016
44,6050,7,5150,1,right,0,16,3.194,Mon May  2 13:09:46 2016
45,6050,7,6200,8,right,1,7,4.544,Mon May  2 13:09:51 2016
46,5600,4,5300,2,left,1,5,3.644,Mon May  2 13:09:55 2016
47,6350,9,6050,7,left,1,10,7.179,Mon May  2 13:10:03 2016
48,6200,8,6050,7,left,1,7,3.775,Mon May  2 13:10:08 2016
49,6500,10,6050,7,left,1,12,5.011,Mon May  2 13:10:13 2016
50,6200,8,6500,10,right,1,11,9.817,Mon May  2 13:10:24 2016
51,1350,7,1250,4,right,0,20,8.364,Mon May  2 13:10:33 2016
52,6050,7,5600,4,right,0,14,2.976,Mon May  2 13:10:37 2016
53,5450,3,6350,9,right,1,15,13.018,Mon May  2 13:10:51 2016
54,6050,7,6350,9,right,1,10,2.692,Mon May  2 13:10:54 2016
55,6500,10,6200,8,left,1,11,5.394,Mon May  2 13:11:00 2016
56,5600,4,6050,7,right,1,14,6.663,Mon May  2 13:11:07 2016
57,1350,7,1450,10,left,0,21,4.644,Mon May  2 13:11:13 2016
58,1450,10,1150,1,right,0,24,3.81,Mon May  2 13:11:18 2016
59,5450,3,5300,2,left,1,2,6.513,Mon May  2 13:11:25 2016
60,1350,7,1250,4,right,0,20,11.635,Mon May  2 13:11:37 2016
61,1150,1,1350,7,left,0,22,2.724,Mon May  2 13:11:40 2016
62,5600,4,5450,3,left,1,3,3.861,Mon May  2 13:11:45 2016
63,6500,10,5600,4,right,0,17,15.738,Mon May  2 13:12:01 2016
64,1150,1,1350,7,left,0,22,24.364,Mon May  2 13:12:27 2016
65,1450,10,1150,1,left,1,24,1.907,Mon May  2 13:12:30 2016
66,5600,4,6050,7,right,1,14,5.646,Mon May  2 13:12:36 2016
67,5600,4,6050,7,left,0,14,2.876,Mon May  2 13:12:40 2016
68,6350,9,6200,8,left,1,8,7.214,Mon May  2 13:12:48 2016
69,6350,9,6200,8,left,1,8,3.76,Mon May  2 13:12:52 2016
70,6350,9,5450,3,right,0,15,7.897,Mon May  2 13:13:01 2016
71,5450,3,5600,4,right,1,3,20.743,Mon May  2 13:13:22 2016
72,1150,1,1450,10,left,0,24,2.477,Mon May  2 13:13:25 2016
73,5150,1,6050,7,left,0,16,2.108,Mon May  2 13:13:28 2016
74,6200,8,6500,10,right,1,11,4.127,Mon May  2 13:13:33 2016
75,5600,4,6050,7,left,0,14,4.426,Mon May  2 13:13:38 2016
76,6050,7,6350,9,right,1,10,6.897,Mon May  2 13:13:45 2016
77,6050,7,5150,1,right,0,16,4.426,Mon May  2 13:13:51 2016
78,6050,7,6350,9,right,1,10,5.012,Mon May  2 13:13:56 2016
79,5600,4,5150,1,right,0,6,7.93,Mon May  2 13:14:05 2016
80,6500,10,6200,8,right,0,11,5.144,Mon May  2 13:14:11 2016
81,6200,8,5300,2,right,0,13,17.656,Mon May  2 13:14:29 2016
82,5600,4,5150,1,left,1,6,2.942,Mon May  2 13:14:32 2016
83,5300,2,6200,8,left,0,13,3.543,Mon May  2 13:14:37 2016
84,5150,1,5600,4,left,0,6,4.962,Mon May  2 13:14:42 2016
85,6350,9,5450,3,right,0,15,2.824,Mon May  2 13:14:46 2016
86,1150,1,1350,7,left,0,22,2.376,Mon May  2 13:14:49 2016
87,6050,7,6350,9,right,1,10,6.345,Mon May  2 13:14:56 2016
88,6050,7,5600,4,right,0,14,4.06,Mon May  2 13:15:00 2016
89,1350,7,1150,1,right,0,22,5.044,Mon May  2 13:15:06 2016
90,6200,8,5300,2,right,0,13,4.511,Mon May  2 13:15:11 2016
91,5300,2,5450,3,right,1,2,6.245,Mon May  2 13:15:18 2016
92,6050,7,6500,10,right,1,12,6.646,Mon May  2 13:15:25 2016
93,5450,3,5150,1,left,1,4,9.165,Mon May  2 13:15:35 2016
94,1450,10,1250,4,right,0,23,4.212,Mon May  2 13:15:40 2016
95,1150,1,1250,4,left,0,19,4.11,Mon May  2 13:15:45 2016
96,1250,4,1150,1,right,0,19,4.077,Mon May  2 13:15:50 2016
97,1250,4,1450,10,left,0,23,4.227,Mon May  2 13:15:54 2016
98,5150,1,5300,2,right,1,1,6.747,Mon May  2 13:16:02 2016
99,5450,3,5300,2,left,1,2,5.276,Mon May  2 13:16:08 2016
100,6350,9,6500,10,right,1,9,4.794,Mon May  2 13:16:13 2016
