trial,money_left,weeks_left,money_right,weeks_right,choice,biggerchosen,pair,time,date
1,6500,10,5150,1,left,1,18,14.25,Wed May  4 07:35:11 2016
2,6500,10,6350,9,left,1,9,7.447,Wed May  4 07:35:19 2016
3,6200,8,6350,9,right,1,8,9.412,Wed May  4 07:35:29 2016
4,6350,9,5450,3,left,1,15,13.685,Wed May  4 07:35:45 2016
5,6200,8,6050,7,left,1,7,10.481,Wed May  4 07:35:55 2016
6,6350,9,5450,3,right,0,15,5.779,Wed May  4 07:36:02 2016
7,6050,7,5150,1,right,0,16,3.908,Wed May  4 07:36:06 2016
8,6500,10,6050,7,right,0,12,5.162,Wed May  4 07:36:11 2016
9,6500,10,5600,4,right,0,17,4.844,Wed May  4 07:36:17 2016
10,1450,10,1150,1,right,0,24,7.463,Wed May  4 07:36:24 2016
11,6500,10,5600,4,right,0,17,4.36,Wed May  4 07:36:29 2016
12,6200,8,6500,10,left,0,11,11.383,Wed May  4 07:36:41 2016
13,5600,4,5450,3,left,1,3,9.815,Wed May  4 07:36:51 2016
14,6500,10,5150,1,right,0,18,2.741,Wed May  4 07:36:54 2016
15,5600,4,6050,7,left,0,14,4.158,Wed May  4 07:36:59 2016
16,1150,1,1250,4,left,0,19,9.049,Wed May  4 07:37:08 2016
17,5600,4,5150,1,right,0,6,10.533,Wed May  4 07:37:19 2016
18,5150,1,5300,2,right,1,1,3.059,Wed May  4 07:37:22 2016
19,1250,4,1450,10,left,0,23,2.991,Wed May  4 07:37:25 2016
20,6050,7,6500,10,left,0,12,3.276,Wed May  4 07:37:29 2016
21,6500,10,6050,7,right,0,12,5.712,Wed May  4 07:37:35 2016
22,5450,3,5300,2,left,1,2,5.094,Wed May  4 07:37:41 2016
23,5600,4,5300,2,right,0,5,3.175,Wed May  4 07:37:44 2016
24,5150,1,5600,4,left,0,6,4.645,Wed May  4 07:37:49 2016
25,5150,1,5600,4,left,0,6,4.277,Wed May  4 07:37:54 2016
26,1150,1,1450,10,left,0,24,6.296,Wed May  4 07:38:01 2016
27,5600,4,6050,7,left,0,14,3.375,Wed May  4 07:38:04 2016
28,5450,3,5300,2,left,1,2,7.765,Wed May  4 07:38:12 2016
29,1450,10,1150,1,right,0,24,4.894,Wed May  4 07:38:18 2016
30,6050,7,6350,9,left,0,10,5.812,Wed May  4 07:38:24 2016
31,5150,1,6050,7,left,0,16,3.926,Wed May  4 07:38:28 2016
32,5300,2,5150,1,left,1,1,3.844,Wed May  4 07:38:32 2016
33,1350,7,1150,1,right,0,22,5.043,Wed May  4 07:38:38 2016
34,5600,4,5450,3,left,1,3,8.098,Wed May  4 07:38:46 2016
35,5600,4,5300,2,right,0,5,2.057,Wed May  4 07:38:49 2016
36,1250,4,1350,7,left,0,20,2.475,Wed May  4 07:38:51 2016
37,5150,1,5300,2,right,1,1,6.312,Wed May  4 07:38:58 2016
38,5300,2,5600,4,left,0,5,5.478,Wed May  4 07:39:04 2016
39,6200,8,6050,7,left,1,7,13.718,Wed May  4 07:39:18 2016
40,6350,9,6200,8,left,1,8,15.989,Wed May  4 07:39:34 2016
41,1250,4,1350,7,left,0,20,5.677,Wed May  4 07:39:40 2016
42,6050,7,5600,4,right,0,14,3.876,Wed May  4 07:39:44 2016
43,5450,3,5300,2,left,1,2,6.979,Wed May  4 07:39:52 2016
44,5450,3,5300,2,left,1,2,5.312,Wed May  4 07:39:57 2016
45,5600,4,5300,2,right,0,5,9.231,Wed May  4 07:40:07 2016
46,1450,10,1150,1,right,0,24,5.729,Wed May  4 07:40:13 2016
47,1350,7,1250,4,right,0,20,3.775,Wed May  4 07:40:17 2016
48,5450,3,5300,2,left,1,2,3.375,Wed May  4 07:40:21 2016
49,1350,7,1150,1,right,0,22,3.243,Wed May  4 07:40:25 2016
50,5600,4,6500,10,left,0,17,2.791,Wed May  4 07:40:28 2016
51,6350,9,6500,10,right,1,9,3.309,Wed May  4 07:40:31 2016
52,5450,3,6350,9,left,0,15,3.86,Wed May  4 07:40:36 2016
53,1350,7,1450,10,left,0,21,10.45,Wed May  4 07:40:46 2016
54,6050,7,5600,4,right,0,14,2.325,Wed May  4 07:40:49 2016
55,1350,7,1450,10,left,0,21,5.044,Wed May  4 07:40:54 2016
56,5600,4,6050,7,left,0,14,3.426,Wed May  4 07:40:58 2016
57,1350,7,1250,4,right,0,20,6.694,Wed May  4 07:41:05 2016
58,6500,10,5150,1,right,0,18,8.365,Wed May  4 07:41:14 2016
59,1350,7,1150,1,right,0,22,4.594,Wed May  4 07:41:19 2016
60,5450,3,6350,9,left,0,15,3.16,Wed May  4 07:41:22 2016
61,6200,8,6050,7,left,1,7,2.742,Wed May  4 07:41:25 2016
62,5600,4,5450,3,left,1,3,5.912,Wed May  4 07:41:31 2016
63,6050,7,5150,1,right,0,16,1.823,Wed May  4 07:41:34 2016
64,1450,10,1250,4,right,0,23,3.108,Wed May  4 07:41:37 2016
65,1250,4,1450,10,left,0,23,2.824,Wed May  4 07:41:40 2016
66,1350,7,1150,1,right,0,22,1.842,Wed May  4 07:41:42 2016
67,6200,8,6500,10,left,0,11,7.245,Wed May  4 07:41:50 2016
68,5150,1,6050,7,left,0,16,7.814,Wed May  4 07:41:58 2016
69,1450,10,1250,4,right,0,23,2.141,Wed May  4 07:42:01 2016
70,6200,8,6050,7,left,1,7,2.624,Wed May  4 07:42:04 2016
71,5450,3,5600,4,right,1,3,5.26,Wed May  4 07:42:09 2016
72,5150,1,5600,4,left,0,6,4.026,Wed May  4 07:42:13 2016
73,6500,10,6350,9,left,1,9,5.645,Wed May  4 07:42:20 2016
74,6200,8,5300,2,right,0,13,5.578,Wed May  4 07:42:26 2016
75,1450,10,1250,4,right,0,23,6.561,Wed May  4 07:42:33 2016
76,5300,2,6200,8,left,0,13,6.43,Wed May  4 07:42:39 2016
77,5150,1,5450,3,left,0,4,3.325,Wed May  4 07:42:43 2016
78,1350,7,1250,4,right,0,20,4.844,Wed May  4 07:42:48 2016
79,1250,4,1150,1,right,0,19,3.274,Wed May  4 07:42:52 2016
80,5150,1,5600,4,left,0,6,4.195,Wed May  4 07:42:56 2016
81,6050,7,6200,8,right,1,7,5.861,Wed May  4 07:43:02 2016
82,1150,1,1250,4,left,0,19,3.76,Wed May  4 07:43:06 2016
83,1150,1,1250,4,left,0,19,4.107,Wed May  4 07:43:11 2016
84,5150,1,6500,10,left,0,18,2.091,Wed May  4 07:43:13 2016
85,5150,1,5300,2,right,1,1,2.708,Wed May  4 07:43:16 2016
86,6500,10,5600,4,right,0,17,2.541,Wed May  4 07:43:19 2016
87,5150,1,5300,2,right,1,1,2.69,Wed May  4 07:43:22 2016
88,5150,1,5300,2,right,1,1,3.359,Wed May  4 07:43:26 2016
89,6050,7,5600,4,right,0,14,4.91,Wed May  4 07:43:31 2016
90,5600,4,6500,10,left,0,17,1.958,Wed May  4 07:43:33 2016
91,1150,1,1450,10,left,0,24,5.043,Wed May  4 07:43:39 2016
92,5300,2,5600,4,left,0,5,5.611,Wed May  4 07:43:45 2016
93,6050,7,5150,1,right,0,16,6.359,Wed May  4 07:43:51 2016
94,6500,10,6050,7,right,0,12,2.874,Wed May  4 07:43:55 2016
95,6500,10,6200,8,right,0,11,3.892,Wed May  4 07:43:59 2016
96,1350,7,1450,10,left,0,21,11.451,Wed May  4 07:44:11 2016
97,6350,9,6200,8,left,1,8,4.073,Wed May  4 07:44:15 2016
98,6050,7,6500,10,left,0,12,5.946,Wed May  4 07:44:22 2016
99,1150,1,1450,10,left,0,24,8.798,Wed May  4 07:44:31 2016
100,6500,10,6050,7,right,0,12,2.858,Wed May  4 07:44:34 2016
101,1250,4,1450,10,left,0,23,13.919,Wed May  4 07:44:48 2016
102,6050,7,6350,9,left,0,10,17.19,Wed May  4 07:45:06 2016
103,6200,8,6350,9,right,1,8,3.942,Wed May  4 07:45:10 2016
104,6200,8,6500,10,left,0,11,3.291,Wed May  4 07:45:14 2016
105,5450,3,5150,1,right,0,4,2.758,Wed May  4 07:45:17 2016
106,6500,10,6350,9,left,1,9,4.809,Wed May  4 07:45:22 2016
