trial,money_left,weeks_left,money_right,weeks_right,choice,biggerchosen,pair,time,date
1,6050,7,6350,9,right,1,10,18.255,Wed May  4 12:43:24 2016
2,6350,9,6200,8,left,1,8,6.479,Wed May  4 12:43:32 2016
3,6500,10,6200,8,left,1,11,9.314,Wed May  4 12:43:43 2016
4,1450,10,1150,1,right,0,24,4.611,Wed May  4 12:43:49 2016
5,6050,7,5600,4,right,0,14,10.583,Wed May  4 12:44:01 2016
6,1150,1,1250,4,left,0,19,16.055,Wed May  4 12:44:18 2016
7,1450,10,1150,1,right,0,24,4.176,Wed May  4 12:44:23 2016
8,6200,8,6350,9,right,1,8,4.228,Wed May  4 12:44:28 2016
9,5600,4,6500,10,left,0,17,4.71,Wed May  4 12:44:33 2016
10,6500,10,5600,4,right,0,17,7.998,Wed May  4 12:44:42 2016
11,1350,7,1150,1,right,0,22,2.625,Wed May  4 12:44:45 2016
12,6050,7,5150,1,right,0,16,2.343,Wed May  4 12:44:48 2016
13,5600,4,5300,2,left,1,5,4.26,Wed May  4 12:44:53 2016
14,5300,2,5450,3,right,1,2,8.499,Wed May  4 12:45:02 2016
15,1150,1,1250,4,left,0,19,5.544,Wed May  4 12:45:09 2016
16,1350,7,1450,10,left,0,21,4.595,Wed May  4 12:45:14 2016
17,5150,1,5450,3,left,0,4,8.597,Wed May  4 12:45:23 2016
18,5600,4,6050,7,left,0,14,3.226,Wed May  4 12:45:27 2016
19,1250,4,1150,1,right,0,19,4.376,Wed May  4 12:45:33 2016
20,1150,1,1450,10,left,0,24,2.477,Wed May  4 12:45:36 2016
21,5150,1,5450,3,right,1,4,3.726,Wed May  4 12:45:40 2016
22,5150,1,6500,10,left,0,18,2.525,Wed May  4 12:45:43 2016
23,6500,10,6350,9,left,1,9,3.576,Wed May  4 12:45:47 2016
24,5300,2,5150,1,right,0,1,3.862,Wed May  4 12:45:53 2016
25,6350,9,6200,8,left,1,8,8.097,Wed May  4 12:46:02 2016
26,6500,10,6350,9,left,1,9,6.513,Wed May  4 12:46:09 2016
27,6350,9,6050,7,right,0,10,3.609,Wed May  4 12:46:13 2016
28,6500,10,5600,4,right,0,17,1.809,Wed May  4 12:46:15 2016
29,6350,9,6200,8,left,1,8,1.824,Wed May  4 12:46:17 2016
30,5600,4,5300,2,right,0,5,4.327,Wed May  4 12:46:22 2016
31,5150,1,5450,3,left,0,4,3.507,Wed May  4 12:46:26 2016
32,6350,9,6500,10,right,1,9,3.427,Wed May  4 12:46:30 2016
33,1450,10,1250,4,right,0,23,7.311,Wed May  4 12:46:38 2016
34,1250,4,1350,7,left,0,20,1.641,Wed May  4 12:46:40 2016
35,6200,8,5300,2,right,0,13,1.787,Wed May  4 12:46:43 2016
36,6500,10,6050,7,left,1,12,5.229,Wed May  4 12:46:48 2016
37,5450,3,5600,4,right,1,3,4.561,Wed May  4 12:46:53 2016
38,6050,7,6200,8,right,1,7,2.543,Wed May  4 12:46:56 2016
39,1150,1,1450,10,left,0,24,1.958,Wed May  4 12:46:59 2016
40,6200,8,5300,2,right,0,13,1.759,Wed May  4 12:47:01 2016
41,6050,7,6350,9,left,0,10,4.392,Wed May  4 12:47:06 2016
42,6050,7,5150,1,right,0,16,1.709,Wed May  4 12:47:08 2016
43,6500,10,6350,9,left,1,9,2.241,Wed May  4 12:47:11 2016
44,5450,3,6350,9,left,0,15,4.444,Wed May  4 12:47:16 2016
45,1350,7,1150,1,right,0,22,1.54,Wed May  4 12:47:18 2016
46,5150,1,5300,2,right,1,1,2.708,Wed May  4 12:47:21 2016
47,5150,1,5450,3,right,1,4,2.507,Wed May  4 12:47:24 2016
48,1250,4,1450,10,left,0,23,1.925,Wed May  4 12:47:26 2016
49,6500,10,5150,1,right,0,18,1.84,Wed May  4 12:47:29 2016
50,6350,9,6200,8,left,1,8,5.41,Wed May  4 12:47:35 2016
51,5300,2,5600,4,left,0,5,6.647,Wed May  4 12:47:42 2016
52,5300,2,5450,3,right,1,2,2.126,Wed May  4 12:47:44 2016
53,1450,10,1150,1,right,0,24,2.858,Wed May  4 12:47:48 2016
54,1450,10,1250,4,right,0,23,1.322,Wed May  4 12:47:49 2016
55,6050,7,6200,8,right,1,7,1.708,Wed May  4 12:47:51 2016
56,6500,10,6050,7,right,0,12,2.826,Wed May  4 12:47:55 2016
57,5150,1,6500,10,left,0,18,2.688,Wed May  4 12:47:58 2016
58,5300,2,5600,4,left,0,5,7.581,Wed May  4 12:48:06 2016
59,5150,1,5450,3,left,0,4,3.109,Wed May  4 12:48:09 2016
60,6500,10,6350,9,left,1,9,4.495,Wed May  4 12:48:14 2016
61,5150,1,5600,4,right,1,6,26.331,Wed May  4 12:48:41 2016
62,5300,2,5150,1,left,1,1,5.379,Wed May  4 12:48:47 2016
63,5600,4,6050,7,left,0,14,3.994,Wed May  4 12:48:51 2016
64,5300,2,5150,1,left,1,1,4.226,Wed May  4 12:48:59 2016
65,5300,2,5600,4,left,0,5,8.548,Wed May  4 12:49:11 2016
66,1150,1,1350,7,left,0,22,2.342,Wed May  4 12:49:14 2016
67,6200,8,6350,9,right,1,8,5.193,Wed May  4 12:49:19 2016
68,6050,7,6350,9,left,0,10,7.413,Wed May  4 12:49:29 2016
69,6500,10,5150,1,left,1,18,50.29,Wed May  4 12:50:20 2016
70,5450,3,5300,2,left,1,2,4.778,Wed May  4 12:50:28 2016
71,6200,8,6500,10,right,1,11,4.227,Wed May  4 12:50:33 2016
72,6050,7,6200,8,right,1,7,3.343,Wed May  4 12:50:36 2016
73,5300,2,5600,4,left,0,5,4.643,Wed May  4 12:50:42 2016
74,6200,8,6050,7,left,1,7,3.126,Wed May  4 12:50:45 2016
75,6500,10,6350,9,left,1,9,2.558,Wed May  4 12:50:48 2016
76,5150,1,5600,4,right,1,6,12.268,Wed May  4 12:51:02 2016
77,1250,4,1350,7,left,0,20,3.842,Wed May  4 12:51:06 2016
78,5600,4,6500,10,right,1,17,5.679,Wed May  4 12:51:12 2016
79,5150,1,6500,10,right,1,18,5.141,Wed May  4 12:51:18 2016
80,5150,1,6500,10,right,1,18,7.43,Wed May  4 12:51:26 2016
81,6350,9,5450,3,right,0,15,4.409,Wed May  4 12:51:31 2016
82,6500,10,6050,7,right,0,12,5.194,Wed May  4 12:51:36 2016
83,5600,4,5150,1,right,0,6,3.959,Wed May  4 12:51:41 2016
84,1150,1,1450,10,left,0,24,3.644,Wed May  4 12:51:45 2016
85,5600,4,6050,7,left,0,14,4.443,Wed May  4 12:51:50 2016
86,6350,9,6050,7,right,0,10,3.11,Wed May  4 12:51:53 2016
87,1150,1,1350,7,left,0,22,2.124,Wed May  4 12:51:56 2016
88,1150,1,1450,10,left,0,24,3.809,Wed May  4 12:52:00 2016
89,6200,8,6500,10,left,0,11,2.658,Wed May  4 12:52:03 2016
90,6050,7,6500,10,left,0,12,3.862,Wed May  4 12:52:07 2016
91,6050,7,6500,10,left,0,12,3.76,Wed May  4 12:52:12 2016
92,1450,10,1350,7,right,0,21,5.461,Wed May  4 12:52:18 2016
93,6350,9,6200,8,left,1,8,3.808,Wed May  4 12:52:22 2016
94,5450,3,5300,2,left,1,2,3.461,Wed May  4 12:52:26 2016
95,6050,7,5150,1,right,0,16,5.478,Wed May  4 12:52:32 2016
96,1450,10,1250,4,right,0,23,3.026,Wed May  4 12:52:36 2016
97,5300,2,6200,8,right,1,13,11.298,Wed May  4 12:52:48 2016
98,6350,9,5450,3,left,1,15,5.512,Wed May  4 12:52:54 2016
99,6350,9,5450,3,left,1,15,8.48,Wed May  4 12:53:02 2016
100,5600,4,5150,1,right,0,6,4.093,Wed May  4 12:53:07 2016
101,1450,10,1250,4,right,0,23,3.293,Wed May  4 12:53:11 2016
102,6050,7,5150,1,right,0,16,5.945,Wed May  4 12:53:17 2016
103,6050,7,6500,10,right,1,12,5.794,Wed May  4 12:53:23 2016
104,5600,4,5450,3,left,1,3,18.974,Wed May  4 12:53:43 2016
105,5150,1,5300,2,right,1,1,14.168,Wed May  4 12:53:58 2016
106,6500,10,6350,9,left,1,9,3.459,Wed May  4 12:54:02 2016
107,5300,2,6200,8,right,1,13,8.597,Wed May  4 12:54:11 2016
108,1350,7,1150,1,right,0,22,2.641,Wed May  4 12:54:14 2016
109,6350,9,6200,8,left,1,8,3.942,Wed May  4 12:54:18 2016
110,5300,2,5450,3,right,1,2,2.274,Wed May  4 12:54:21 2016
111,1350,7,1250,4,right,0,20,2.991,Wed May  4 12:54:24 2016
112,5150,1,5600,4,right,1,6,4.477,Wed May  4 12:54:29 2016
113,6050,7,6200,8,right,1,7,3.626,Wed May  4 12:54:33 2016
114,5300,2,6200,8,right,1,13,6.313,Wed May  4 12:54:40 2016
115,5600,4,6500,10,right,1,17,6.377,Wed May  4 12:54:47 2016
116,1350,7,1150,1,right,0,22,3.343,Wed May  4 12:54:51 2016
117,5600,4,5300,2,right,0,5,4.093,Wed May  4 12:54:55 2016
118,5450,3,5150,1,right,0,4,7.947,Wed May  4 12:55:04 2016
119,6500,10,6050,7,left,1,12,9.113,Wed May  4 12:55:13 2016
120,6200,8,6500,10,left,0,11,9.716,Wed May  4 12:55:23 2016
121,1350,7,1450,10,left,0,21,16.388,Wed May  4 12:55:40 2016
122,1350,7,1250,4,right,0,20,3.508,Wed May  4 12:55:44 2016
123,1350,7,1250,4,right,0,20,3.959,Wed May  4 12:55:49 2016
124,5450,3,5300,2,right,0,2,3.358,Wed May  4 12:55:53 2016
125,5450,3,5300,2,right,0,2,2.59,Wed May  4 12:55:57 2016
126,5300,2,5600,4,left,0,5,4.127,Wed May  4 12:56:01 2016
127,6050,7,5150,1,right,0,16,8.414,Wed May  4 12:56:10 2016
128,6350,9,6500,10,right,1,9,4.944,Wed May  4 12:56:16 2016
129,5450,3,5600,4,right,1,3,15.404,Wed May  4 12:56:32 2016
130,5600,4,6500,10,right,1,17,5.845,Wed May  4 12:56:38 2016
131,5600,4,5450,3,right,0,3,4.341,Wed May  4 12:56:43 2016
132,6200,8,5300,2,left,1,13,5.995,Wed May  4 12:56:49 2016
133,1350,7,1150,1,right,0,22,3.208,Wed May  4 12:56:53 2016
134,1450,10,1350,7,right,0,21,4.677,Wed May  4 12:56:58 2016
135,5300,2,6200,8,right,1,13,4.776,Wed May  4 12:57:03 2016
136,6350,9,5450,3,left,1,15,11.634,Wed May  4 12:57:15 2016
137,1450,10,1350,7,right,0,21,1.973,Wed May  4 12:57:18 2016
138,1250,4,1150,1,right,0,19,2.259,Wed May  4 12:57:20 2016
139,6500,10,6200,8,left,1,11,2.69,Wed May  4 12:57:24 2016
140,6050,7,5600,4,right,0,14,11.036,Wed May  4 12:57:36 2016
141,5300,2,5600,4,left,0,5,7.96,Wed May  4 12:57:45 2016
142,5600,4,6050,7,left,0,14,12.167,Wed May  4 12:57:57 2016
143,5600,4,5150,1,right,0,6,9.199,Wed May  4 12:58:07 2016
144,1250,4,1150,1,right,0,19,4.077,Wed May  4 12:58:12 2016
145,5150,1,5450,3,right,1,4,12.968,Wed May  4 12:58:25 2016
146,5600,4,5150,1,left,1,6,10.683,Wed May  4 12:58:36 2016
