trial,money_left,weeks_left,money_right,weeks_right,choice,biggerchosen,pair,time,date
1,1250,4,1350,7,left,0,20,4.523,Fri Apr 22 15:32:28 2016
2,5450,3,5150,1,right,0,4,4.76,Fri Apr 22 15:32:33 2016
3,5450,3,5300,2,right,0,2,10.265,Fri Apr 22 15:32:44 2016
4,5300,2,6200,8,right,1,13,11.651,Fri Apr 22 15:32:56 2016
5,1450,10,1150,1,right,0,24,9.716,Fri Apr 22 15:33:06 2016
6,1350,7,1150,1,right,0,22,8.232,Fri Apr 22 15:33:15 2016
7,5300,2,6200,8,right,1,13,2.941,Fri Apr 22 15:33:18 2016
8,5300,2,5150,1,left,1,1,6.296,Fri Apr 22 15:33:25 2016
9,6200,8,6050,7,left,1,7,7.212,Fri Apr 22 15:33:32 2016
10,5600,4,6500,10,left,0,17,10.483,Fri Apr 22 15:33:43 2016
11,6350,9,6500,10,right,1,9,4.709,Fri Apr 22 15:33:48 2016
12,5450,3,5600,4,right,1,3,2.241,Fri Apr 22 15:33:51 2016
13,6350,9,6050,7,left,1,10,8.28,Fri Apr 22 15:33:59 2016
14,6200,8,6050,7,left,1,7,2.442,Fri Apr 22 15:34:02 2016
15,1150,1,1350,7,left,0,22,3.558,Fri Apr 22 15:34:06 2016
16,6050,7,6350,9,right,1,10,7.248,Fri Apr 22 15:34:13 2016
17,6500,10,5150,1,right,0,18,2.074,Fri Apr 22 15:34:16 2016
18,5150,1,5600,4,right,1,6,4.845,Fri Apr 22 15:34:21 2016
19,6500,10,5150,1,right,0,18,3.809,Fri Apr 22 15:34:25 2016
20,5600,4,5300,2,left,1,5,5.561,Fri Apr 22 15:34:31 2016
21,6500,10,6200,8,right,0,11,3.024,Fri Apr 22 15:34:34 2016
22,5150,1,5450,3,left,0,4,6.129,Fri Apr 22 15:34:41 2016
23,6050,7,6200,8,right,1,7,1.522,Fri Apr 22 15:34:43 2016
24,5150,1,5450,3,right,1,4,13.77,Fri Apr 22 15:34:57 2016
25,5300,2,6200,8,left,0,13,3.176,Fri Apr 22 15:35:00 2016
26,6050,7,5600,4,left,1,14,12.035,Fri Apr 22 15:35:13 2016
27,6350,9,6050,7,right,0,10,2.457,Fri Apr 22 15:35:15 2016
28,5300,2,5450,3,right,1,2,13.554,Fri Apr 22 15:35:29 2016
29,5600,4,5150,1,right,0,6,2.256,Fri Apr 22 15:35:32 2016
30,1450,10,1150,1,right,0,24,2.142,Fri Apr 22 15:35:34 2016
31,6200,8,6350,9,right,1,8,5.461,Fri Apr 22 15:35:40 2016
32,5450,3,5600,4,right,1,3,1.706,Fri Apr 22 15:35:42 2016
33,5450,3,5600,4,right,1,3,1.405,Fri Apr 22 15:35:44 2016
34,6500,10,5600,4,right,0,17,3.593,Fri Apr 22 15:35:48 2016
35,6500,10,5600,4,left,1,17,6.562,Fri Apr 22 15:35:55 2016
36,1350,7,1150,1,right,0,22,4.844,Fri Apr 22 15:36:00 2016
37,5150,1,5450,3,right,1,4,8.53,Fri Apr 22 15:36:09 2016
38,1250,4,1150,1,right,0,19,4.093,Fri Apr 22 15:36:13 2016
39,5150,1,5300,2,right,1,1,4.441,Fri Apr 22 15:36:18 2016
40,6500,10,6200,8,left,1,11,3.425,Fri Apr 22 15:36:21 2016
