trial,money_left,weeks_left,money_right,weeks_right,choice,biggerchosen,pair,time,date
1,5450,3,5300,2,left,1,2,5.258,Tue May  3 13:50:18 2016
2,5600,4,5450,3,right,0,3,16.289,Tue May  3 13:50:37 2016
3,6050,7,6200,8,right,1,7,6.528,Tue May  3 13:50:45 2016
4,6050,7,5150,1,right,0,16,3.443,Tue May  3 13:50:49 2016
5,6500,10,5150,1,right,0,18,3.877,Tue May  3 13:50:54 2016
6,6200,8,6500,10,left,0,11,4.16,Tue May  3 13:50:58 2016
7,5600,4,6500,10,left,0,17,4.277,Tue May  3 13:51:03 2016
8,6200,8,6050,7,left,1,7,6.094,Tue May  3 13:51:10 2016
9,1150,1,1250,4,left,0,19,14.319,Tue May  3 13:51:25 2016
10,6050,7,5150,1,right,0,16,2.209,Tue May  3 13:51:28 2016
11,5450,3,5300,2,left,1,2,5.778,Tue May  3 13:51:35 2016
12,1150,1,1450,10,left,0,24,4.728,Tue May  3 13:51:43 2016
13,6200,8,6500,10,left,0,11,3.142,Tue May  3 13:51:46 2016
14,6200,8,6050,7,left,1,7,5.295,Tue May  3 13:51:52 2016
15,1250,4,1350,7,left,0,20,3.359,Tue May  3 13:51:56 2016
16,6350,9,6500,10,right,1,9,5.329,Tue May  3 13:52:03 2016
17,1150,1,1350,7,left,0,22,5.343,Tue May  3 13:52:09 2016
18,6050,7,6350,9,left,0,10,5.645,Tue May  3 13:52:15 2016
19,5450,3,5600,4,right,1,3,5.794,Tue May  3 13:52:22 2016
20,6050,7,5600,4,right,0,14,4.728,Tue May  3 13:52:27 2016
21,5450,3,6350,9,left,0,15,2.958,Tue May  3 13:52:30 2016
22,5150,1,5300,2,left,0,1,1.741,Tue May  3 13:52:33 2016
23,6050,7,6200,8,right,1,7,3.175,Tue May  3 13:52:36 2016
24,5300,2,6200,8,left,0,13,2.576,Tue May  3 13:52:39 2016
25,6050,7,5150,1,right,0,16,1.457,Tue May  3 13:52:41 2016
26,6200,8,6050,7,left,1,7,3.877,Tue May  3 13:52:46 2016
27,6050,7,6200,8,right,1,7,3.175,Tue May  3 13:52:50 2016
28,5450,3,5600,4,right,1,3,4.294,Tue May  3 13:52:55 2016
29,1450,10,1350,7,right,0,21,3.425,Tue May  3 13:52:59 2016
30,1350,7,1250,4,right,0,20,5.196,Tue May  3 13:53:08 2016
31,1350,7,1450,10,left,0,21,3.341,Tue May  3 13:53:14 2016
32,6500,10,6050,7,right,0,12,3.075,Tue May  3 13:53:18 2016
33,6350,9,5450,3,right,0,15,2.491,Tue May  3 13:53:21 2016
34,5300,2,6200,8,left,0,13,3.026,Tue May  3 13:53:25 2016
35,1250,4,1150,1,right,0,19,3.107,Tue May  3 13:53:28 2016
36,5150,1,6500,10,left,0,18,1.19,Tue May  3 13:53:30 2016
37,5300,2,5150,1,right,0,1,0.907,Tue May  3 13:53:31 2016
38,5300,2,5600,4,left,0,5,3.075,Tue May  3 13:53:35 2016
39,5600,4,5450,3,left,1,3,8.313,Tue May  3 13:53:44 2016
40,5150,1,5300,2,right,1,1,1.891,Tue May  3 13:53:46 2016
41,5600,4,6500,10,left,0,17,2.742,Tue May  3 13:53:49 2016
42,1450,10,1350,7,right,0,21,6.131,Tue May  3 13:53:56 2016
43,6500,10,6050,7,right,0,12,2.991,Tue May  3 13:54:00 2016
44,1350,7,1450,10,left,0,21,4.812,Tue May  3 13:54:05 2016
45,5600,4,6500,10,left,0,17,2.858,Tue May  3 13:54:09 2016
46,5600,4,5450,3,left,1,3,3.41,Tue May  3 13:54:13 2016
47,6500,10,5150,1,right,0,18,5.393,Tue May  3 13:54:19 2016
48,6050,7,6350,9,left,0,10,4.427,Tue May  3 13:54:24 2016
49,6500,10,5600,4,right,0,17,2.973,Tue May  3 13:54:27 2016
50,6500,10,6200,8,right,0,11,3.409,Tue May  3 13:54:32 2016
51,5450,3,5150,1,right,0,4,1.423,Tue May  3 13:54:34 2016
52,5600,4,6500,10,left,0,17,3.409,Tue May  3 13:54:38 2016
53,6500,10,6350,9,left,1,9,3.943,Tue May  3 13:54:43 2016
54,1350,7,1150,1,right,0,22,8.449,Tue May  3 13:54:52 2016
55,6050,7,6200,8,right,1,7,2.407,Tue May  3 13:54:54 2016
56,1450,10,1350,7,right,0,21,2.443,Tue May  3 13:54:57 2016
57,1250,4,1150,1,right,0,19,1.123,Tue May  3 13:54:59 2016
58,5450,3,5150,1,right,0,4,0.84,Tue May  3 13:55:00 2016
59,6350,9,6200,8,left,1,8,2.722,Tue May  3 13:55:03 2016
60,6500,10,6050,7,right,0,12,4.562,Tue May  3 13:55:08 2016
61,6350,9,5450,3,right,0,15,4.075,Tue May  3 13:55:13 2016
62,5450,3,5300,2,left,1,2,2.858,Tue May  3 13:55:16 2016
63,6500,10,6050,7,right,0,12,6.079,Tue May  3 13:55:23 2016
64,6050,7,5600,4,right,0,14,5.145,Tue May  3 13:55:29 2016
65,5600,4,5150,1,right,0,6,3.405,Tue May  3 13:55:33 2016
66,1150,1,1450,10,left,0,24,1.673,Tue May  3 13:55:35 2016
67,6350,9,6050,7,right,0,10,4.576,Tue May  3 13:55:40 2016
68,6050,7,6200,8,right,1,7,4.628,Tue May  3 13:55:45 2016
69,1450,10,1150,1,right,0,24,1.908,Tue May  3 13:55:51 2016
70,5600,4,5300,2,right,0,5,18.459,Tue May  3 13:56:10 2016
71,1350,7,1150,1,right,0,22,2.107,Tue May  3 13:56:13 2016
72,6200,8,5300,2,right,0,13,13.32,Tue May  3 13:56:26 2016
73,6200,8,5300,2,right,0,13,3.092,Tue May  3 13:56:30 2016
74,1450,10,1150,1,right,0,24,2.091,Tue May  3 13:56:33 2016
75,1350,7,1150,1,right,0,22,0.94,Tue May  3 13:56:35 2016
76,5450,3,6350,9,left,0,15,5.495,Tue May  3 13:56:41 2016
77,5300,2,5600,4,left,0,5,10.432,Tue May  3 13:56:52 2016
78,5150,1,5300,2,left,0,1,1.941,Tue May  3 13:56:54 2016
79,5300,2,5450,3,right,1,2,2.959,Tue May  3 13:56:58 2016
80,5300,2,5600,4,left,0,5,2.359,Tue May  3 13:57:01 2016
81,1150,1,1450,10,left,0,24,2.358,Tue May  3 13:57:04 2016
82,5150,1,5600,4,left,0,6,2.493,Tue May  3 13:57:07 2016
83,5450,3,5600,4,right,1,3,3.342,Tue May  3 13:57:11 2016
84,5300,2,5450,3,right,1,2,3.31,Tue May  3 13:57:15 2016
85,5600,4,5150,1,right,0,6,2.791,Tue May  3 13:57:19 2016
86,5450,3,5150,1,right,0,4,3.143,Tue May  3 13:57:22 2016
87,6500,10,6200,8,right,0,11,3.491,Tue May  3 13:57:27 2016
88,6500,10,6200,8,right,0,11,5.546,Tue May  3 13:57:33 2016
89,5600,4,5450,3,left,1,3,3.258,Tue May  3 13:57:37 2016
90,1350,7,1450,10,left,0,21,3.376,Tue May  3 13:57:41 2016
91,6050,7,6500,10,left,0,12,3.191,Tue May  3 13:57:45 2016
92,6500,10,6050,7,right,0,12,3.243,Tue May  3 13:57:49 2016
93,6200,8,6350,9,right,1,8,2.591,Tue May  3 13:57:52 2016
94,5300,2,5150,1,right,0,1,1.559,Tue May  3 13:57:54 2016
95,5600,4,5150,1,right,0,6,5.661,Tue May  3 13:58:01 2016
96,6350,9,6200,8,left,1,8,3.96,Tue May  3 13:58:05 2016
97,1150,1,1450,10,left,0,24,4.125,Tue May  3 13:58:11 2016
98,1150,1,1250,4,left,0,19,3.193,Tue May  3 13:58:15 2016
99,6500,10,5600,4,right,0,17,2.725,Tue May  3 13:58:18 2016
100,6500,10,6350,9,left,1,9,3.493,Tue May  3 13:58:23 2016
101,6050,7,5600,4,right,0,14,3.51,Tue May  3 13:58:27 2016
102,6350,9,6050,7,right,0,10,4.878,Tue May  3 13:58:33 2016
103,6500,10,6350,9,left,1,9,4.008,Tue May  3 13:58:38 2016
104,1250,4,1350,7,left,0,20,4.544,Tue May  3 13:58:43 2016
105,1350,7,1150,1,right,0,22,1.757,Tue May  3 13:58:46 2016
106,6050,7,6350,9,left,0,10,3.46,Tue May  3 13:58:51 2016
107,6500,10,5150,1,right,0,18,2.559,Tue May  3 13:58:54 2016
108,6500,10,6050,7,right,0,12,3.776,Tue May  3 13:58:58 2016
109,6350,9,6200,8,left,1,8,3.959,Tue May  3 13:59:03 2016
110,1450,10,1250,4,right,0,23,5.129,Tue May  3 13:59:09 2016
111,5450,3,5300,2,left,1,2,2.39,Tue May  3 13:59:12 2016
112,5450,3,5300,2,left,1,2,2.124,Tue May  3 13:59:15 2016
113,1250,4,1350,7,left,0,20,1.64,Tue May  3 13:59:17 2016
114,1450,10,1250,4,right,0,23,2.409,Tue May  3 13:59:20 2016
115,1450,10,1250,4,right,0,23,14.62,Tue May  3 13:59:36 2016
116,6200,8,6500,10,left,0,11,2.308,Tue May  3 13:59:39 2016
117,5150,1,5600,4,left,0,6,2.123,Tue May  3 13:59:42 2016
118,6050,7,5150,1,right,0,16,1.46,Tue May  3 13:59:45 2016
119,5150,1,6050,7,left,0,16,1.223,Tue May  3 13:59:47 2016
120,5150,1,5450,3,left,0,4,2.308,Tue May  3 13:59:49 2016
121,1250,4,1450,10,left,0,23,4.409,Tue May  3 13:59:55 2016
122,5600,4,5300,2,right,0,5,6.679,Tue May  3 14:00:02 2016
123,6500,10,5150,1,right,0,18,2.174,Tue May  3 14:00:05 2016
124,5450,3,5600,4,right,1,3,3.31,Tue May  3 14:00:09 2016
125,1450,10,1250,4,right,0,23,3.275,Tue May  3 14:00:14 2016
126,5150,1,6500,10,left,0,18,2.39,Tue May  3 14:00:18 2016
127,6200,8,6050,7,left,1,7,5.594,Tue May  3 14:00:25 2016
128,5600,4,5150,1,right,0,6,3.157,Tue May  3 14:00:29 2016
129,5150,1,5450,3,left,0,4,1.573,Tue May  3 14:00:31 2016
130,5600,4,5300,2,right,0,5,5.727,Tue May  3 14:00:38 2016
131,5150,1,5300,2,left,0,1,3.692,Tue May  3 14:00:43 2016
132,5450,3,6350,9,right,1,15,6.227,Tue May  3 14:00:49 2016
133,5600,4,5450,3,left,1,3,4.909,Tue May  3 14:00:55 2016
134,1150,1,1250,4,left,0,19,1.303,Tue May  3 14:00:57 2016
135,5150,1,5300,2,left,0,1,2.14,Tue May  3 14:01:01 2016
136,1450,10,1250,4,right,0,23,8.044,Tue May  3 14:01:09 2016
137,1350,7,1150,1,right,0,22,1.673,Tue May  3 14:01:12 2016
138,1250,4,1350,7,left,0,20,2.174,Tue May  3 14:01:15 2016
139,5600,4,6050,7,left,0,14,3.893,Tue May  3 14:01:20 2016
140,5150,1,5300,2,left,0,1,3.106,Tue May  3 14:01:24 2016
141,6200,8,6500,10,left,0,11,5.664,Tue May  3 14:01:31 2016
142,1250,4,1150,1,right,0,19,2.907,Tue May  3 14:01:34 2016
143,6050,7,6350,9,left,0,10,3.91,Tue May  3 14:01:39 2016
144,6200,8,6350,9,right,1,8,5.376,Tue May  3 14:01:46 2016
145,5300,2,5450,3,right,1,2,5.544,Tue May  3 14:01:52 2016
146,5150,1,6050,7,left,0,16,1.889,Tue May  3 14:01:55 2016
147,5150,1,6050,7,left,0,16,1.857,Tue May  3 14:01:58 2016
148,5300,2,6200,8,left,0,13,2.089,Tue May  3 14:02:01 2016
149,6050,7,6500,10,left,0,12,2.406,Tue May  3 14:02:04 2016
150,1250,4,1450,10,left,0,23,4.325,Tue May  3 14:02:09 2016
151,6500,10,5150,1,right,0,18,2.241,Tue May  3 14:02:12 2016
152,5150,1,6500,10,left,0,18,1.088,Tue May  3 14:02:14 2016
153,1350,7,1150,1,right,0,22,1.756,Tue May  3 14:02:16 2016
154,1350,7,1150,1,right,0,22,1.205,Tue May  3 14:02:18 2016
155,5600,4,6050,7,left,0,14,2.358,Tue May  3 14:02:21 2016
