trial,money_left,weeks_left,money_right,weeks_right,choice,biggerchosen,pair,time,date
199,5600,4,6500,10,left,0,17,7.194,Wed May 11 15:46:03 2016
200,6500,10,6050,7,right,0,12,12.683,Wed May 11 15:46:17 2016
201,5150,1,6050,7,left,0,16,19.791,Wed May 11 15:46:37 2016
202,1250,4,1150,1,right,0,19,2.723,Wed May 11 15:46:40 2016
203,1450,10,1250,4,right,0,23,4.258,Wed May 11 15:46:45 2016
204,6350,9,6200,8,left,1,8,4.56,Wed May 11 15:46:50 2016
205,5300,2,5450,3,right,1,2,8.979,Wed May 11 15:47:03 2016
206,6500,10,6350,9,left,1,9,11.017,Wed May 11 15:47:14 2016
207,6350,9,6500,10,right,1,9,11.182,Wed May 11 15:47:26 2016
208,5600,4,5450,3,left,1,3,8.879,Wed May 11 15:47:35 2016
209,1250,4,1350,7,left,0,20,4.392,Wed May 11 15:47:40 2016
210,5600,4,5150,1,left,1,6,4.025,Wed May 11 15:47:45 2016
211,1350,7,1150,1,right,0,22,9.48,Wed May 11 15:47:55 2016
212,6350,9,6200,8,left,1,8,6.16,Wed May 11 15:48:04 2016
213,6500,10,6200,8,left,1,11,17.138,Wed May 11 15:48:22 2016
214,5450,3,5300,2,left,1,2,23.746,Wed May 11 15:48:46 2016
215,1450,10,1150,1,right,0,24,3.239,Wed May 11 15:48:50 2016
216,6500,10,6350,9,left,1,9,3.943,Wed May 11 15:48:54 2016
217,6350,9,6050,7,left,1,10,6.26,Wed May 11 15:49:01 2016
218,5600,4,5150,1,right,0,6,11.199,Wed May 11 15:49:14 2016
219,5300,2,5150,1,left,1,1,11.931,Wed May 11 15:49:27 2016
220,1250,4,1450,10,left,0,23,18.674,Wed May 11 15:49:46 2016
221,6050,7,6200,8,right,1,7,4.876,Wed May 11 15:49:52 2016
222,6200,8,5300,2,right,0,13,7.155,Wed May 11 15:49:59 2016
223,5600,4,6050,7,left,0,14,24.011,Wed May 11 15:50:25 2016
224,1250,4,1150,1,right,0,19,4.006,Wed May 11 15:50:30 2016
225,1250,4,1350,7,left,0,20,4.375,Wed May 11 15:50:34 2016
