trial,money_left,weeks_left,money_right,weeks_right,choice,biggerchosen,pair,time,date
1,5450,3,5150,1,right,0,4,5.142,Fri May 13 11:11:19 2016
2,6200,8,6050,7,left,1,7,4.826,Fri May 13 11:11:25 2016
3,5150,1,6500,10,left,0,18,6.012,Fri May 13 11:11:32 2016
4,1450,10,1150,1,right,0,24,3.894,Fri May 13 11:11:36 2016
5,1150,1,1350,7,left,0,22,4.695,Fri May 13 11:11:41 2016
6,1250,4,1450,10,left,0,23,4.693,Fri May 13 11:11:47 2016
7,5450,3,5600,4,right,1,3,6.929,Fri May 13 11:11:55 2016
8,6200,8,6050,7,left,1,7,4.161,Fri May 13 11:11:59 2016
9,1150,1,1250,4,left,0,19,4.277,Fri May 13 11:12:04 2016
10,5300,2,6200,8,left,0,13,6.445,Fri May 13 11:12:11 2016
11,6350,9,6500,10,right,1,9,3.593,Fri May 13 11:12:16 2016
12,6350,9,6050,7,left,1,10,7.681,Fri May 13 11:12:24 2016
13,1150,1,1250,4,left,0,19,5.662,Fri May 13 11:12:30 2016
14,6500,10,5150,1,right,0,18,4.911,Fri May 13 11:12:36 2016
15,6200,8,5300,2,right,0,13,6.797,Fri May 13 11:12:44 2016
16,5600,4,6050,7,left,0,14,3.76,Fri May 13 11:12:48 2016
17,5450,3,6350,9,left,0,15,15.923,Fri May 13 11:13:04 2016
18,5150,1,5300,2,right,1,1,3.577,Fri May 13 11:13:09 2016
19,1150,1,1450,10,left,0,24,5.261,Fri May 13 11:13:15 2016
20,1450,10,1150,1,right,0,24,3.826,Fri May 13 11:13:19 2016
21,5450,3,6350,9,left,0,15,3.058,Fri May 13 11:13:23 2016
22,5600,4,6050,7,left,0,14,7.165,Fri May 13 11:13:31 2016
23,6050,7,5600,4,right,0,14,10.384,Fri May 13 11:13:42 2016
24,6350,9,6200,8,left,1,8,7.599,Fri May 13 11:13:51 2016
25,5300,2,5600,4,left,0,5,20.744,Fri May 13 11:14:12 2016
26,5450,3,5300,2,left,1,2,6.129,Fri May 13 11:14:19 2016
27,5150,1,6500,10,left,0,18,4.644,Fri May 13 11:14:24 2016
28,5450,3,5600,4,right,1,3,5.346,Fri May 13 11:14:30 2016
29,6200,8,6350,9,right,1,8,7.462,Fri May 13 11:14:38 2016
30,1350,7,1150,1,right,0,22,7.114,Fri May 13 11:14:46 2016
31,5600,4,6050,7,left,0,14,7.164,Fri May 13 11:14:54 2016
32,5300,2,5450,3,right,1,2,4.027,Fri May 13 11:14:58 2016
33,5600,4,6500,10,left,0,17,6.478,Fri May 13 11:15:05 2016
34,6050,7,5150,1,right,0,16,11.084,Fri May 13 11:15:17 2016
35,6200,8,6350,9,right,1,8,3.093,Fri May 13 11:15:21 2016
36,6350,9,6050,7,left,1,10,14.805,Fri May 13 11:15:37 2016
37,1450,10,1350,7,right,0,21,3.709,Fri May 13 11:15:41 2016
38,6350,9,6050,7,right,0,10,9.916,Fri May 13 11:15:52 2016
39,6200,8,6350,9,right,1,8,3.459,Fri May 13 11:15:56 2016
40,5600,4,5300,2,right,0,5,3.761,Fri May 13 11:16:00 2016
41,1450,10,1350,7,right,0,21,7.814,Fri May 13 11:16:09 2016
42,1450,10,1350,7,right,0,21,5.745,Fri May 13 11:16:15 2016
43,5300,2,5150,1,left,1,1,3.925,Fri May 13 11:16:19 2016
44,1150,1,1250,4,left,0,19,4.376,Fri May 13 11:16:24 2016
45,1350,7,1250,4,right,0,20,4.209,Fri May 13 11:16:29 2016
46,6350,9,5450,3,right,0,15,5.129,Fri May 13 11:16:35 2016
47,6050,7,6500,10,left,0,12,2.608,Fri May 13 11:16:38 2016
48,1450,10,1150,1,right,0,24,4.544,Fri May 13 11:16:44 2016
49,1450,10,1350,7,right,0,21,5.726,Fri May 13 11:16:50 2016
50,1150,1,1350,7,left,0,22,3.76,Fri May 13 11:16:54 2016
51,5300,2,6200,8,left,0,13,11.134,Fri May 13 11:17:06 2016
52,1250,4,1350,7,left,0,20,5.747,Fri May 13 11:17:13 2016
53,6050,7,6350,9,left,0,10,3.208,Fri May 13 11:17:16 2016
54,1450,10,1250,4,right,0,23,3.66,Fri May 13 11:17:21 2016
55,5600,4,5450,3,left,1,3,4.409,Fri May 13 11:17:26 2016
