trial,money_left,weeks_left,money_right,weeks_right,choice,biggerchosen,pair,time,date
1,5150,1,5300,2,right,1,1,17.053,Thu May  5 14:28:26 2016
2,1250,4,1450,10,left,0,23,18.525,Thu May  5 14:28:47 2016
3,6350,9,6200,8,left,1,8,14.118,Thu May  5 14:29:03 2016
4,5150,1,5450,3,right,1,4,18.691,Thu May  5 14:29:24 2016
5,1450,10,1150,1,left,1,24,17.087,Thu May  5 14:29:43 2016
6,5300,2,5450,3,right,1,2,9.515,Thu May  5 14:29:56 2016
7,6500,10,6050,7,left,1,12,8.164,Thu May  5 14:30:06 2016
8,6050,7,5150,1,left,1,16,25.165,Thu May  5 14:30:35 2016
9,6050,7,6350,9,right,1,10,9.498,Thu May  5 14:30:47 2016
10,5600,4,5450,3,left,1,3,16.724,Thu May  5 14:31:05 2016
11,1350,7,1450,10,right,1,21,23.296,Thu May  5 14:31:30 2016
12,5450,3,5600,4,right,1,3,8.182,Thu May  5 14:31:40 2016
13,1250,4,1350,7,right,1,20,16.254,Thu May  5 14:31:58 2016
14,5600,4,6050,7,left,0,14,8.331,Thu May  5 14:32:08 2016
15,6500,10,5600,4,right,0,17,10.882,Thu May  5 14:32:20 2016
16,1350,7,1450,10,right,1,21,5.694,Thu May  5 14:32:30 2016
17,6500,10,5150,1,left,1,18,18.274,Thu May  5 14:32:50 2016
18,1250,4,1350,7,right,1,20,12.251,Thu May  5 14:33:04 2016
19,6500,10,6350,9,left,1,9,6.696,Thu May  5 14:33:12 2016
20,5300,2,5600,4,right,1,5,7.948,Thu May  5 14:33:21 2016
21,5450,3,5300,2,left,1,2,5.128,Thu May  5 14:33:28 2016
22,5600,4,5300,2,left,1,5,9.116,Thu May  5 14:33:38 2016
23,6050,7,6500,10,right,1,12,13.235,Thu May  5 14:33:53 2016
24,5300,2,5150,1,left,1,1,8.549,Thu May  5 14:34:03 2016
25,1250,4,1450,10,right,1,23,15.771,Thu May  5 14:34:21 2016
26,5150,1,6500,10,left,0,18,7.631,Thu May  5 14:34:29 2016
27,1150,1,1350,7,right,1,22,9.483,Thu May  5 14:34:40 2016
28,6500,10,6050,7,left,1,12,5.411,Thu May  5 14:34:47 2016
29,5600,4,6050,7,right,1,14,8.797,Thu May  5 14:34:56 2016
30,5150,1,6500,10,left,0,18,16.858,Thu May  5 14:35:14 2016
31,6050,7,5150,1,left,1,16,10.832,Thu May  5 14:35:27 2016
32,5300,2,6200,8,right,1,13,15.572,Thu May  5 14:35:44 2016
33,5600,4,5450,3,left,1,3,6.278,Thu May  5 14:35:51 2016
34,6350,9,6200,8,left,1,8,3.342,Thu May  5 14:35:55 2016
35,6500,10,5600,4,right,0,17,15.271,Thu May  5 14:36:11 2016
36,6200,8,6050,7,left,1,7,6.128,Thu May  5 14:36:19 2016
37,1250,4,1450,10,right,1,23,6.462,Thu May  5 14:36:26 2016
38,1150,1,1250,4,left,0,19,18.91,Thu May  5 14:36:46 2016
39,5150,1,5600,4,right,1,6,14.569,Thu May  5 14:37:02 2016
40,6500,10,5600,4,left,1,17,32.006,Thu May  5 14:37:35 2016
41,5150,1,5450,3,right,1,4,14.118,Thu May  5 14:37:50 2016
42,6200,8,6500,10,right,1,11,10.601,Thu May  5 14:38:02 2016
43,5450,3,5150,1,left,1,4,9.398,Thu May  5 14:38:12 2016
44,1350,7,1150,1,right,0,22,12.383,Thu May  5 14:38:26 2016
45,6200,8,6350,9,right,1,8,6.112,Thu May  5 14:38:34 2016
46,6050,7,6350,9,right,1,10,7.597,Thu May  5 14:38:43 2016
47,1250,4,1350,7,left,0,20,23.979,Thu May  5 14:39:08 2016
48,1150,1,1350,7,left,0,22,10.567,Thu May  5 14:39:19 2016
49,6050,7,6500,10,right,1,12,5.21,Thu May  5 14:39:25 2016
50,5300,2,5150,1,left,1,1,10.4,Thu May  5 14:39:37 2016
51,1250,4,1150,1,right,0,19,11.432,Thu May  5 14:39:49 2016
52,5450,3,5300,2,left,1,2,13.205,Thu May  5 14:40:03 2016
53,5300,2,5450,3,right,1,2,8.162,Thu May  5 14:40:13 2016
54,6500,10,5600,4,right,0,17,6.229,Thu May  5 14:40:20 2016
55,1350,7,1450,10,right,1,21,10.881,Thu May  5 14:40:32 2016
56,6350,9,5450,3,right,0,15,18.091,Thu May  5 14:40:51 2016
57,6350,9,6200,8,left,1,8,5.26,Thu May  5 14:40:57 2016
58,6050,7,6350,9,right,1,10,10.582,Thu May  5 14:41:09 2016
59,1150,1,1250,4,left,0,19,15.554,Thu May  5 14:41:25 2016
60,6050,7,6500,10,right,1,12,7.964,Thu May  5 14:41:34 2016
61,5300,2,5600,4,right,1,5,11.416,Thu May  5 14:41:46 2016
62,1250,4,1450,10,left,0,23,10.367,Thu May  5 14:41:58 2016
63,1250,4,1150,1,right,0,19,20.977,Thu May  5 14:42:20 2016
64,6500,10,6350,9,left,1,9,5.361,Thu May  5 14:42:26 2016
65,6350,9,6200,8,left,1,8,11.516,Thu May  5 14:42:39 2016
66,1150,1,1250,4,left,0,19,12.936,Thu May  5 14:42:52 2016
67,6200,8,5300,2,right,0,13,10.682,Thu May  5 14:43:04 2016
68,6050,7,6200,8,right,1,7,6.912,Thu May  5 14:43:12 2016
69,5150,1,5600,4,right,1,6,18.191,Thu May  5 14:43:31 2016
70,6500,10,5600,4,right,0,17,11.567,Thu May  5 14:43:44 2016
71,6350,9,5450,3,right,0,15,7.597,Thu May  5 14:43:53 2016
72,1250,4,1350,7,left,0,20,12.084,Thu May  5 14:44:06 2016
73,5600,4,5300,2,left,1,5,9.848,Thu May  5 14:44:17 2016
74,5150,1,6050,7,left,0,16,8.046,Thu May  5 14:44:26 2016
75,6350,9,6050,7,left,1,10,12.418,Thu May  5 14:44:39 2016
76,5150,1,6050,7,left,0,16,6.798,Thu May  5 14:44:47 2016
77,1450,10,1150,1,right,0,24,9.832,Thu May  5 14:44:58 2016
78,5450,3,5600,4,right,1,3,9.015,Thu May  5 14:45:08 2016
79,6350,9,6500,10,right,1,9,10.865,Thu May  5 14:45:19 2016
80,5600,4,6050,7,left,0,14,7.413,Thu May  5 14:45:28 2016
81,1250,4,1350,7,left,0,20,18.491,Thu May  5 14:45:47 2016
82,6200,8,5300,2,right,0,13,10.017,Thu May  5 14:45:58 2016
83,6050,7,6200,8,right,1,7,8.897,Thu May  5 14:46:08 2016
84,6050,7,6500,10,right,1,12,6.179,Thu May  5 14:46:15 2016
85,5600,4,5300,2,left,1,5,15.337,Thu May  5 14:46:31 2016
86,6050,7,6350,9,right,1,10,4.911,Thu May  5 14:46:36 2016
87,5450,3,6350,9,left,0,15,10.099,Thu May  5 14:46:47 2016
88,5300,2,5600,4,right,1,5,10.801,Thu May  5 14:46:59 2016
89,1450,10,1350,7,right,0,21,3.959,Thu May  5 14:47:04 2016
90,5300,2,6200,8,left,0,13,11.566,Thu May  5 14:47:17 2016
91,6500,10,5150,1,right,0,18,9.531,Thu May  5 14:47:27 2016
92,6200,8,5300,2,right,0,13,6.478,Thu May  5 14:47:35 2016
93,6050,7,6500,10,right,1,12,18.871,Thu May  5 14:47:54 2016
94,6200,8,5300,2,right,0,13,7.814,Thu May  5 14:48:03 2016
95,6050,7,5150,1,right,0,16,12.183,Thu May  5 14:48:16 2016
96,6050,7,6350,9,right,1,10,8.263,Thu May  5 14:48:26 2016
97,6050,7,6350,9,right,1,10,6.68,Thu May  5 14:48:33 2016
98,6350,9,6200,8,left,1,8,4.828,Thu May  5 14:48:39 2016
99,6500,10,5150,1,right,0,18,4.291,Thu May  5 14:48:44 2016
100,5600,4,6500,10,left,0,17,4.06,Thu May  5 14:48:49 2016
101,6500,10,6350,9,left,1,9,7.127,Thu May  5 14:48:57 2016
102,5600,4,6500,10,left,0,17,7.33,Thu May  5 14:49:05 2016
103,1350,7,1450,10,left,0,21,9.214,Thu May  5 14:49:15 2016
104,6500,10,6350,9,left,1,9,8.797,Thu May  5 14:49:24 2016
105,1450,10,1150,1,right,0,24,8.162,Thu May  5 14:49:33 2016
106,1150,1,1450,10,left,0,24,10.184,Thu May  5 14:49:44 2016
107,5600,4,5150,1,left,1,6,6.995,Thu May  5 14:49:52 2016
108,6500,10,6200,8,left,1,11,3.942,Thu May  5 14:49:56 2016
109,5300,2,6200,8,left,0,13,11.015,Thu May  5 14:50:08 2016
110,6200,8,5300,2,right,0,13,11.117,Thu May  5 14:50:20 2016
111,6050,7,6200,8,right,1,7,5.577,Thu May  5 14:50:26 2016
112,5450,3,5300,2,left,1,2,5.462,Thu May  5 14:50:32 2016
113,6050,7,6350,9,right,1,10,3.509,Thu May  5 14:50:36 2016
114,1150,1,1350,7,left,0,22,3.343,Thu May  5 14:50:40 2016
115,5600,4,6050,7,left,0,14,13.885,Thu May  5 14:50:55 2016
116,6050,7,6350,9,right,1,10,7.163,Thu May  5 14:51:03 2016
117,1250,4,1450,10,left,0,23,10.95,Thu May  5 14:51:15 2016
118,1150,1,1250,4,left,0,19,7.113,Thu May  5 14:51:23 2016
119,6350,9,5450,3,right,0,15,9.297,Thu May  5 14:51:32 2016
120,1150,1,1450,10,left,0,24,7.58,Thu May  5 14:51:41 2016
121,6350,9,5450,3,right,0,15,6.677,Thu May  5 14:51:49 2016
122,1150,1,1250,4,left,0,19,12.578,Thu May  5 14:52:02 2016
123,5150,1,5300,2,right,1,1,4.026,Thu May  5 14:52:07 2016
124,5450,3,5300,2,left,1,2,7.714,Thu May  5 14:52:15 2016
125,1350,7,1150,1,right,0,22,4.807,Thu May  5 14:52:20 2016
126,5150,1,5600,4,right,1,6,7.997,Thu May  5 14:52:29 2016
127,6200,8,6350,9,right,1,8,6.895,Thu May  5 14:52:37 2016
128,5600,4,5450,3,left,1,3,6.312,Thu May  5 14:52:44 2016
129,1150,1,1450,10,left,0,24,8.062,Thu May  5 14:52:53 2016
130,6500,10,6050,7,right,0,12,11.201,Thu May  5 14:53:05 2016
131,1350,7,1150,1,right,0,22,5.208,Thu May  5 14:53:11 2016
132,5150,1,5300,2,right,1,1,4.76,Thu May  5 14:53:17 2016
133,1150,1,1350,7,left,0,22,10.748,Thu May  5 14:53:28 2016
134,1450,10,1350,7,right,0,21,6.244,Thu May  5 14:53:35 2016
135,5450,3,6350,9,left,0,15,5.893,Thu May  5 14:53:42 2016
136,5150,1,5300,2,right,1,1,6.946,Thu May  5 14:53:49 2016
137,6200,8,6050,7,left,1,7,8.782,Thu May  5 14:53:59 2016
138,5450,3,5300,2,left,1,2,4.176,Thu May  5 14:54:05 2016
139,1350,7,1250,4,right,0,20,6.711,Thu May  5 14:54:12 2016
140,5150,1,5300,2,right,1,1,12.234,Thu May  5 14:54:25 2016
141,5150,1,6500,10,left,0,18,4.708,Thu May  5 14:54:31 2016
142,6500,10,6350,9,left,1,9,8.863,Thu May  5 14:54:40 2016
143,6200,8,6500,10,right,1,11,5.594,Thu May  5 14:54:47 2016
144,6050,7,5600,4,right,0,14,10.817,Thu May  5 14:54:58 2016
145,5600,4,5300,2,left,1,5,11.449,Thu May  5 14:55:10 2016
146,5600,4,6500,10,left,0,17,14.187,Thu May  5 14:55:25 2016
147,6350,9,6200,8,left,1,8,9.231,Thu May  5 14:55:35 2016
