trial,money_left,weeks_left,money_right,weeks_right,choice,biggerchosen,pair,time,date
1,1350,7,1450,10,right,1,21,9.195,Wed May  4 14:31:34 2016
2,5150,1,6050,7,left,0,16,28.719,Wed May  4 14:32:04 2016
3,1250,4,1350,7,left,0,20,7.212,Wed May  4 14:32:11 2016
4,5150,1,5300,2,right,1,1,11.269,Wed May  4 14:32:23 2016
5,5300,2,5150,1,right,0,1,5.277,Wed May  4 14:32:30 2016
6,6500,10,5600,4,right,0,17,10.215,Wed May  4 14:32:41 2016
7,1350,7,1450,10,left,0,21,5.777,Wed May  4 14:32:47 2016
8,6050,7,5150,1,right,0,16,13.803,Wed May  4 14:33:02 2016
9,5450,3,6350,9,left,0,15,8.28,Wed May  4 14:33:10 2016
10,5600,4,5300,2,left,1,5,7.38,Wed May  4 14:33:18 2016
11,5150,1,5600,4,right,1,6,15.153,Wed May  4 14:33:34 2016
12,1250,4,1350,7,left,0,20,5.026,Wed May  4 14:33:40 2016
13,6050,7,6200,8,right,1,7,18.656,Wed May  4 14:33:59 2016
14,5600,4,5150,1,left,1,6,4.677,Wed May  4 14:34:04 2016
15,6350,9,6200,8,left,1,8,7.697,Wed May  4 14:34:13 2016
16,6200,8,6500,10,left,0,11,14.655,Wed May  4 14:34:28 2016
17,1250,4,1350,7,left,0,20,25.297,Wed May  4 14:34:54 2016
18,6200,8,5300,2,right,0,13,10.934,Wed May  4 14:35:05 2016
19,1450,10,1250,4,right,0,23,4.576,Wed May  4 14:35:10 2016
20,5450,3,5300,2,left,1,2,14.255,Wed May  4 14:35:25 2016
21,1150,1,1450,10,right,1,24,22.227,Wed May  4 14:35:48 2016
22,1150,1,1250,4,left,0,19,10.467,Wed May  4 14:35:59 2016
23,1250,4,1350,7,left,0,20,15.087,Wed May  4 14:36:15 2016
24,6500,10,5600,4,left,1,17,8.481,Wed May  4 14:36:24 2016
25,6050,7,5600,4,right,0,14,15.087,Wed May  4 14:36:39 2016
26,5450,3,6350,9,left,0,15,22.013,Wed May  4 14:37:04 2016
27,1350,7,1450,10,right,1,21,8.864,Wed May  4 14:37:13 2016
28,5450,3,5300,2,left,1,2,8.464,Wed May  4 14:37:22 2016
29,5600,4,5450,3,left,1,3,6.644,Wed May  4 14:37:30 2016
30,6500,10,6200,8,left,1,11,12.802,Wed May  4 14:37:43 2016
31,5300,2,5600,4,left,0,5,5.71,Wed May  4 14:37:49 2016
32,6500,10,5150,1,right,0,18,10.583,Wed May  4 14:38:00 2016
33,1450,10,1350,7,left,1,21,12.851,Wed May  4 14:38:15 2016
34,5150,1,6050,7,left,0,16,27.217,Wed May  4 14:38:42 2016
35,5300,2,5600,4,left,0,5,5.394,Wed May  4 14:38:48 2016
36,5600,4,6050,7,right,1,14,19.559,Wed May  4 14:39:08 2016
37,5300,2,6200,8,left,0,13,10.232,Wed May  4 14:39:20 2016
38,6050,7,6350,9,right,1,10,14.288,Wed May  4 14:39:35 2016
39,6350,9,5450,3,right,0,15,7.196,Wed May  4 14:39:42 2016
40,5600,4,5300,2,right,0,5,13.069,Wed May  4 14:39:56 2016
41,6500,10,6200,8,right,0,11,19.641,Wed May  4 14:40:16 2016
42,6350,9,6500,10,right,1,9,5.879,Wed May  4 14:40:22 2016
43,1250,4,1450,10,left,0,23,3.892,Wed May  4 14:40:27 2016
44,1450,10,1150,1,right,0,24,3.276,Wed May  4 14:40:31 2016
45,1250,4,1350,7,left,0,20,8.563,Wed May  4 14:40:40 2016
46,6500,10,5600,4,right,0,17,8.865,Wed May  4 14:40:49 2016
47,1150,1,1450,10,left,0,24,16.085,Wed May  4 14:41:05 2016
48,5300,2,5600,4,right,1,5,6.429,Wed May  4 14:41:12 2016
49,6050,7,5150,1,left,1,16,12.451,Wed May  4 14:41:25 2016
50,6050,7,6500,10,right,1,12,5.678,Wed May  4 14:41:31 2016
51,6350,9,6050,7,left,1,10,5.761,Wed May  4 14:41:37 2016
52,1350,7,1150,1,left,1,22,5.327,Wed May  4 14:41:43 2016
53,6050,7,6200,8,right,1,7,10.883,Wed May  4 14:41:55 2016
54,5300,2,5600,4,left,0,5,18.808,Wed May  4 14:42:14 2016
55,1150,1,1250,4,left,0,19,7.013,Wed May  4 14:42:22 2016
56,6050,7,5600,4,left,1,14,5.544,Wed May  4 14:42:28 2016
57,1250,4,1150,1,left,1,19,7.795,Wed May  4 14:42:36 2016
58,6350,9,6500,10,right,1,9,4.527,Wed May  4 14:42:42 2016
59,1150,1,1250,4,left,0,19,5.827,Wed May  4 14:42:48 2016
60,6200,8,6350,9,right,1,8,12.885,Wed May  4 14:43:01 2016
61,6500,10,6200,8,right,0,11,25.347,Wed May  4 14:43:27 2016
62,6500,10,6050,7,left,1,12,6.713,Wed May  4 14:43:35 2016
63,5600,4,5450,3,right,0,3,8.062,Wed May  4 14:43:44 2016
64,5150,1,6050,7,left,0,16,16.772,Wed May  4 14:44:01 2016
65,6200,8,6050,7,left,1,7,4.276,Wed May  4 14:44:06 2016
66,5150,1,5450,3,right,1,4,4.293,Wed May  4 14:44:10 2016
67,6350,9,6050,7,left,1,10,4.026,Wed May  4 14:44:15 2016
68,5150,1,5600,4,right,1,6,3.376,Wed May  4 14:44:18 2016
69,6200,8,6350,9,right,1,8,7.412,Wed May  4 14:44:26 2016
70,5450,3,5600,4,right,1,3,13.102,Wed May  4 14:44:40 2016
71,6200,8,5300,2,right,0,13,8.948,Wed May  4 14:44:49 2016
72,5150,1,5450,3,left,0,4,47.754,Wed May  4 14:45:37 2016
73,6500,10,5150,1,right,0,18,3.908,Wed May  4 14:45:42 2016
74,5150,1,5600,4,left,0,6,11.031,Wed May  4 14:45:53 2016
75,5450,3,6350,9,left,0,15,6.344,Wed May  4 14:46:00 2016
