trial,money_left,weeks_left,money_right,weeks_right,choice,biggerchosen,pair,time,date
1,6350,9,6050,7,left,1,10,25.366,Fri May 13 12:52:59 2016
2,1450,10,1150,1,right,0,24,16.007,Fri May 13 12:53:16 2016
3,5300,2,6200,8,left,0,13,18.258,Fri May 13 12:53:36 2016
4,1350,7,1150,1,right,0,22,4.627,Fri May 13 12:53:42 2016
5,1350,7,1250,4,right,0,20,9.816,Fri May 13 12:53:52 2016
6,6500,10,5600,4,left,1,17,11.084,Fri May 13 12:54:05 2016
7,6500,10,5150,1,right,0,18,20.611,Fri May 13 12:54:27 2016
8,5300,2,5450,3,left,0,2,4.327,Fri May 13 12:54:33 2016
9,1350,7,1250,4,right,0,20,9.531,Fri May 13 12:54:44 2016
10,1450,10,1150,1,right,0,24,5.345,Fri May 13 12:54:51 2016
11,6050,7,5600,4,left,1,14,10.432,Fri May 13 12:55:03 2016
12,5600,4,5150,1,right,0,6,21.496,Fri May 13 12:55:26 2016
13,6200,8,6050,7,left,1,7,8.815,Fri May 13 12:55:36 2016
14,1350,7,1450,10,left,0,21,7.065,Fri May 13 12:55:44 2016
15,1250,4,1450,10,left,0,23,8.132,Fri May 13 12:55:53 2016
16,1350,7,1450,10,left,0,21,11.051,Fri May 13 12:56:06 2016
17,1350,7,1250,4,right,0,20,7.513,Fri May 13 12:56:14 2016
18,5450,3,5600,4,right,1,3,15.506,Fri May 13 12:56:31 2016
19,1250,4,1450,10,left,0,23,4.327,Fri May 13 12:56:37 2016
20,5600,4,6500,10,right,1,17,9.216,Fri May 13 12:56:47 2016
21,6050,7,6200,8,right,1,7,4.377,Fri May 13 12:56:53 2016
22,6500,10,5600,4,left,1,17,12.386,Fri May 13 12:57:07 2016
23,6200,8,5300,2,left,1,13,19.993,Fri May 13 12:57:28 2016
24,5300,2,5600,4,left,0,5,19.526,Fri May 13 12:57:49 2016
25,5150,1,5600,4,right,1,6,38.628,Fri May 13 12:58:28 2016
26,6500,10,6350,9,left,1,9,4.427,Fri May 13 12:58:34 2016
27,6500,10,5600,4,left,1,17,10.751,Fri May 13 12:58:45 2016
28,5300,2,5150,1,right,0,1,7.747,Fri May 13 12:58:54 2016
29,6200,8,6050,7,left,1,7,21.978,Fri May 13 12:59:17 2016
30,5150,1,5450,3,left,0,4,12.419,Fri May 13 12:59:30 2016
31,1150,1,1350,7,left,0,22,5.043,Fri May 13 12:59:37 2016
32,6050,7,5600,4,left,1,14,21.112,Fri May 13 12:59:59 2016
33,6500,10,6050,7,left,1,12,8.581,Fri May 13 13:00:09 2016
34,6350,9,6050,7,right,0,10,10.685,Fri May 13 13:00:21 2016
35,1450,10,1150,1,right,0,24,3.609,Fri May 13 13:00:25 2016
36,1250,4,1150,1,right,0,19,3.294,Fri May 13 13:00:29 2016
37,5450,3,5600,4,right,1,3,8.848,Fri May 13 13:00:39 2016
38,1350,7,1450,10,left,0,21,3.761,Fri May 13 13:00:44 2016
39,5600,4,5450,3,left,1,3,17.99,Fri May 13 13:01:02 2016
40,1450,10,1150,1,right,0,24,41.817,Fri May 13 13:01:45 2016
41,1150,1,1250,4,left,0,19,2.442,Fri May 13 13:01:48 2016
42,5300,2,6200,8,left,0,13,4.645,Fri May 13 13:01:54 2016
43,6050,7,5600,4,left,1,14,8.248,Fri May 13 13:02:03 2016
44,1450,10,1150,1,right,0,24,3.392,Fri May 13 13:02:07 2016
45,1450,10,1250,4,right,0,23,5.744,Fri May 13 13:02:14 2016
46,5300,2,5150,1,left,1,1,4.461,Fri May 13 13:02:20 2016
47,5300,2,5600,4,right,1,5,6.945,Fri May 13 13:02:28 2016
48,6500,10,5150,1,right,0,18,2.676,Fri May 13 13:02:32 2016
49,1250,4,1450,10,left,0,23,6.895,Fri May 13 13:02:39 2016
50,6050,7,6200,8,right,1,7,2.842,Fri May 13 13:02:43 2016
51,1350,7,1150,1,right,0,22,2.692,Fri May 13 13:02:47 2016
52,6200,8,6350,9,right,1,8,8.265,Fri May 13 13:02:56 2016
53,5150,1,5600,4,right,1,6,8.33,Fri May 13 13:03:05 2016
54,1350,7,1450,10,left,0,21,2.943,Fri May 13 13:03:09 2016
55,1350,7,1150,1,right,0,22,3.008,Fri May 13 13:03:12 2016
56,5300,2,6200,8,left,0,13,18.726,Fri May 13 13:03:32 2016
57,1150,1,1450,10,left,0,24,2.256,Fri May 13 13:03:35 2016
58,1250,4,1350,7,left,0,20,2.909,Fri May 13 13:03:39 2016
59,5300,2,5450,3,right,1,2,39.647,Fri May 13 13:04:20 2016
